LEPR N,T (C),P (GPa),log fO2,Palk,Mal,Pal,L SiO2,L MgNum,L ALKind,L MgO,L CaO,L H2O,L CO2,S Fe2SiO5,S Fe2SiO4,S Fe2SiO4.6,S H2O,S Si0.25OH,S Al0.33OH,X albite,Dep albite (kJ),Res albite (kJ),X anorthite,Dep anorthite (kJ),Res anorthite (kJ),X sanidine,Dep sanidine (kJ),Res sanidine (kJ)
23,825,0.3,-13.2585,0,0,1,64.89,0.166667,5.71,0.4,2.89,9.48,0,0,0,0,0,0,0,0.356886,-4307.42,0.16203,0.615709,-4579.14,0.298484,0.0,0.0,0.0
24,825,0.3,-13.2585,0,0,1,70.86,0.153409,6.8,0.27,1.79,6.17,0,0,0,0,0,0,0,0.48199,-4305.55,0.0668768,0.476513,-4580.6,0.468787,0.0,0.0,0.0
25,825,0.3,-13.2585,0,1,0,70.62,0.159091,6.8,0.28,2.07,5.76,0,0,0,0,0,0,0,0.480609,-4305.61,0.00319325,0.473039,-4580.6,0.301014,0.0,0.0,0.0
26,800,0.3,-13.7745,0,0,1,67.2033,0.161765,6.0494,0.329967,2.43976,8.17918,0,0,0,0,0,0,0,0.431139,-4291.71,0.0362339,0.546387,-4565.63,0.183333,0.0,0.0,0.0
27,800,0.3,-13.7745,0,0,1,71.2829,0.171779,6.60934,0.279972,1.62984,6.62934,0,0,0,0,0,0,0,0.489519,-4291.03,0.0784226,0.46792,-4566.44,0.497816,0.0,0.0,0.0
28,825,0.3,-13.2585,0,0,1,66.4266,0.349794,5.43054,1.70017,2.34023,7.26073,0,0,0,0,0,0,0,0.5214,-4305.05,0.367174,0.420183,-4581.28,0.406422,0.0584168,-4337.28,0.729361
29,850,0.3,-12.7657,0,0,1,63.5764,0.155039,5.66057,0.40004,3.23032,9.88099,0,0,0,0,0,0,0,0.230088,-4324.53,0.0976382,0.7516,-4592.49,0.43063,0.0,0.0,0.0
30,850,0.3,-12.7657,0,1,0,69.79,0.170732,6.82,0.35,2.09,6.07,0,0,0,0,0,0,0,0.476442,-4320.19,0.101878,0.486863,-4594.95,0.423428,0.0,0.0,0.0
31,850,0.3,-12.7657,0,0,1,72.35,0.215789,7,0.41,1.55,4.81,0,0,0,0,0,0,0,0.494225,-4320,0.0509017,0.458696,-4595.26,0.597388,0.0,0.0,0.0
33,775,0.3,-14.3154,0,0,1,67.3935,0.14966,5.20104,0.220044,2.40048,10.062,0,0,0,0,0,0,0,0.49027,-4276.64,0.254162,0.484917,-4552.3,0.208174,0.0,0.0,0.0
34,775,0.3,-14.3154,0,0,1,68.01,0.151316,5.76,0.23,2.05,9.69,0,0,0,0,0,0,0,0.526835,-4276.17,0.263404,0.442599,-4552.86,0.295414,0.0,0.0,0.0
35,850,0.2,-12.8066,0,0,1,67.35,0.155797,6.45,0.43,2.84,1.73,0,0,0,0,0,0,0,0.379505,-4332.1,-0.837091,0.582314,-4603.95,-0.722055,0.0,0.0,0.0
36,850,0.2,-12.8066,0,0,1,71.41,0.156098,7.11,0.32,1.98,0.59,0,0,0,0,0,0,0,0.471702,-4330.82,-0.944296,0.458992,-4605.14,-0.644929,0.0693063,-4361.68,0.283025
37,850,0.2,-12.8066,0,0,1,73.7145,0.159341,7.38135,0.287328,1.3871,0,0,0,0,0,0,0,0,0.503444,-4330.04,-0.966613,0.459963,-4605.51,-0.446961,0.0,0.0,0.0
40,875,0.3,-12.2946,0,0,1,68.56,0.289157,6.44,0.72,2.81,1.4,0,0,0,0,0,0,0,0.378231,-4336.65,-0.862537,0.584925,-4608.37,-0.626023,0.0,0.0,0.0
41,875,0.3,-12.2946,0,0,1,72.0365,0.284314,7.10247,0.57534,2.10297,0,0,0,0,0,0,0,0,0.474059,-4335.2,-1.0558,0.466981,-4609.63,-0.705297,0.0589596,-4366.91,0.125363
