Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
879,1122.00,0.000,-9.229,5.6022,3.3190,52.1405,0.1100,2.6231,1.1757,0.0000,18.3270,0.0000,22.1624,0.0000,0.0000,3.4081,0.0531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.693,-66.390,13.119,1.688,6.753,-0.505709,0.861354,0.565980,0.041899,-0.035789,0.068459,0.003805
880,1121.00,0.000,-9.242,5.8224,3.3207,52.1093,0.1106,2.6191,1.1815,0.0000,18.4341,0.0000,22.0743,0.0000,0.0000,3.4178,0.0533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.929,-68.932,13.626,1.753,7.014,-0.508924,0.860877,0.569613,0.041762,-0.035618,0.068470,0.003821
881,1120.00,0.000,-9.254,6.0400,3.3223,52.0782,0.1111,2.6150,1.1874,0.0000,18.5409,0.0000,21.9863,0.0000,0.0000,3.4276,0.0535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.118,-71.438,14.126,1.818,7.271,-0.512133,0.860396,0.573242,0.041625,-0.035448,0.068481,0.003836
882,1119.00,0.000,-9.267,6.2550,3.3239,52.0471,0.1116,2.6110,1.1932,0.0000,18.6474,0.0000,21.8984,0.0000,0.0000,3.4374,0.0537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.263,-73.909,14.620,1.882,7.525,-0.515335,0.859913,0.576867,0.041488,-0.035277,0.068492,0.003851
883,1118.00,0.000,-9.280,6.4676,3.3255,52.0161,0.1122,2.6070,1.1991,0.0000,18.7537,0.0000,21.8106,0.0000,0.0000,3.4474,0.0539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.364,-76.346,15.108,1.945,7.776,-0.518529,0.859425,0.580488,0.041352,-0.035106,0.068503,0.003867
884,1117.00,0.000,-9.292,6.6777,3.3271,51.9852,0.1127,2.6030,1.2049,0.0000,18.8598,0.0000,21.7230,0.0000,0.0000,3.4574,0.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.422,-78.750,15.589,2.007,8.023,-0.521714,0.858935,0.584104,0.041216,-0.034936,0.068514,0.003882
885,1116.00,0.000,-9.305,6.8855,3.3287,51.9543,0.1133,2.5990,1.2107,0.0000,18.9655,0.0000,21.6355,0.0000,0.0000,3.4675,0.0542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-103.438,-81.122,16.064,2.069,8.268,-0.524891,0.858440,0.587715,0.041079,-0.034766,0.068525,0.003897
886,1115.00,0.000,-9.318,7.0910,3.3303,51.9234,0.1138,2.5950,1.2165,0.0000,19.0710,0.0000,21.5481,0.0000,0.0000,3.4777,0.0544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-106.414,-83.463,16.534,2.129,8.509,-0.528059,0.857942,0.591320,0.040943,-0.034595,0.068536,0.003912
887,1114.00,0.000,-9.330,7.2943,3.3319,51.8927,0.1144,2.5910,1.2223,0.0000,19.1761,0.0000,21.4610,0.0000,0.0000,3.4879,0.0546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-109.350,-85.772,16.997,2.189,8.748,-0.531216,0.857441,0.594919,0.040807,-0.034425,0.068547,0.003927
888,1113.00,0.000,-9.343,7.4954,3.3335,51.8620,0.1150,2.5870,1.2281,0.0000,19.2810,0.0000,21.3740,0.0000,0.0000,3.4983,0.0548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-112.248,-88.052,17.455,2.248,8.983,-0.534363,0.856936,0.598511,0.040671,-0.034254,0.068558,0.003942
