Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
825,1176.00,0.000,-8.576,0.4095,2.6416,51.8188,0.0000,30.8067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3247,3.9041,0.1457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.108,-5.653,1.004,0.155,0.505,0.343575,0.647987,0.008439
826,1175.00,0.000,-8.588,0.7682,2.6413,51.8621,0.0000,30.7772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2902,3.9233,0.1472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.333,-10.606,1.883,0.291,0.947,0.345230,0.646250,0.008520
827,1174.00,0.000,-8.600,1.1253,2.6410,51.9052,0.0000,30.7478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2559,3.9424,0.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.526,-15.536,2.757,0.426,1.387,0.346879,0.644519,0.008603
828,1173.00,0.000,-8.611,1.4806,2.6408,51.9483,0.0000,30.7185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2217,3.9615,0.1501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.688,-20.443,3.627,0.561,1.824,0.348521,0.642793,0.008686
829,1172.00,0.000,-8.623,1.8343,2.6405,51.9911,0.0000,30.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1876,3.9804,0.1515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.820,-25.328,4.492,0.695,2.260,0.350157,0.641073,0.008770
830,1171.00,0.000,-8.635,2.1863,2.6402,52.0339,0.0000,30.6602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1536,3.9993,0.1530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.921,-30.190,5.353,0.828,2.693,0.351786,0.639360,0.008854
831,1170.00,0.000,-8.647,2.5366,2.6399,52.0765,0.0000,30.6312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1197,4.0182,0.1545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.991,-35.029,6.210,0.961,3.125,0.353409,0.637652,0.008939
832,1169.00,0.000,-8.658,2.8853,2.6397,52.1189,0.0000,30.6023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0859,4.0369,0.1560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-50.030,-39.847,7.062,1.093,3.554,0.355024,0.635951,0.009025
833,1168.00,0.000,-8.670,3.2323,2.6394,52.1612,0.0000,30.5734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0523,4.0556,0.1575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-56.040,-44.641,7.909,1.225,3.981,0.356633,0.634256,0.009111
834,1167.00,0.000,-8.682,3.5777,2.6391,52.2033,0.0000,30.5447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0188,4.0742,0.1590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-62.018,-49.414,8.752,1.356,4.406,0.358234,0.632568,0.009198
835,1166.00,0.000,-8.694,3.9214,2.6388,52.2453,0.0000,30.5161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9854,4.0927,0.1605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.967,-54.164,9.591,1.486,4.829,0.359828,0.630886,0.009285
836,1165.00,0.000,-8.705,4.2635,2.6386,52.2871,0.0000,30.4876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9521,4.1111,0.1621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.886,-58.893,10.425,1.616,5.250,0.361415,0.629212,0.009374
837,1164.00,0.000,-8.717,4.6039,2.6383,52.3287,0.0000,30.4592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9190,4.1295,0.1636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.774,-63.599,11.255,1.745,5.669,0.362994,0.627544,0.009462
838,1163.00,0.000,-8.729,4.9427,2.6380,52.3702,0.0000,30.4309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8860,4.1477,0.1652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.632,-68.283,12.080,1.874,6.086,0.364565,0.625883,0.009552
839,1162.00,0.000,-8.741,5.2799,2.6378,52.4115,0.0000,30.4028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8531,4.1659,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.461,-72.946,12.901,2.002,6.501,0.366129,0.624229,0.009642
840,1161.00,0.000,-8.753,5.6154,2.6375,52.4526,0.0000,30.3747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8204,4.1840,0.1683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.260,-77.586,13.718,2.129,6.914,0.367685,0.622583,0.009733
841,1160.00,0.000,-8.765,5.9494,2.6373,52.4935,0.0000,30.3468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7878,4.2020,0.1699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-103.029,-82.204,14.530,2.256,7.324,0.369233,0.620943,0.009824
842,1159.00,0.000,-8.777,6.2817,2.6370,52.5343,0.0000,30.3190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7553,4.2199,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-108.768,-86.801,15.338,2.382,7.733,0.370772,0.619312,0.009916
843,1158.00,0.000,-8.789,6.6124,2.6367,52.5748,0.0000,30.2913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7230,4.2377,0.1732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-114.477,-91.376,16.142,2.508,8.139,0.372304,0.617687,0.010008
844,1157.00,0.000,-8.801,6.9415,2.6365,52.6152,0.0000,30.2637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6909,4.2554,0.1748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-120.157,-95.929,16.941,2.633,8.544,0.373827,0.616071,0.010102
845,1156.00,0.000,-8.812,7.2689,2.6362,52.6554,0.0000,30.2363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6588,4.2730,0.1764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-125.808,-100.460,17.736,2.757,8.946,0.375343,0.614462,0.010196
846,1155.00,0.000,-8.824,7.5948,2.6360,52.6954,0.0000,30.2090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6270,4.2906,0.1781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-131.429,-104.970,18.527,2.881,9.346,0.376849,0.612861,0.010290
