Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,2000.00,0.000,-2.462,9.8230891548286e+01,2.4317,58.9428,0.8857,17.3062,1.2041,0.0000,6.0247,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8570448120168e+03,-1.1204293254222e+03,3.2405054070104e+02,4.0396712436223e+01,1.4262335011100e+02,5.5023295e-01,1.9757231e-02,2.5868124e-02,5.5117665e-03,0.0000000e+00,6.4524600e-02,3.2347145e-03,3.5614744e-02,0.0000000e+00,0.0000000e+00,9.8059450e-02,9.6839355e-04,1.6870129e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8646,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8570448120168e+03,-1.1204293254222e+03, 3.2405054070104e+02, 4.0396712436223e+01, 1.4262335011100e+02, 2.0201869034340e-03,-2.1699342349566e-04, 5.0008695797297e-05, 5.3715614565972e-06, 2.0201869034340e-03,-2.1699342349566e-04, 5.0008695797297e-05, 5.3715614565972e-06
2,1999.00,0.000,-2.467,9.8230861301694e+01,2.4318,58.9428,0.8857,17.3062,1.2038,0.0000,6.0250,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8567201943511e+03,-1.1205716215469e+03,3.2398766490077e+02,4.0394660532678e+01,1.4262319495340e+02,5.5021522e-01,1.9763635e-02,2.5849568e-02,5.5098538e-03,0.0000000e+00,6.4544814e-02,3.2355912e-03,3.5614475e-02,0.0000000e+00,0.0000000e+00,9.8055525e-02,9.6672505e-04,1.6865753e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8670,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8567201943511e+03,-1.1205716215469e+03, 3.2398766490077e+02, 4.0394660532678e+01, 1.4262319495340e+02, 2.0201807605934e-03,-2.1704343256257e-04, 5.0011083988667e-05, 5.3730723244224e-06, 2.0201807605934e-03,-2.1704343256257e-04, 5.0011083988667e-05, 5.3730723244224e-06
3,1998.00,0.000,-2.472,9.8230831100255e+01,2.4319,58.9428,0.8857,17.3062,1.2035,0.0000,6.0253,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8563956405758e+03,-1.1207139178488e+03,3.2392476178457e+02,4.0392608688756e+01,1.4262304002742e+02,5.5019747e-01,1.9770047e-02,2.5831010e-02,5.5079431e-03,0.0000000e+00,6.4565044e-02,3.2364688e-03,3.5614205e-02,0.0000000e+00,0.0000000e+00,9.8051597e-02,9.6505795e-04,1.6861375e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8694,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8563956405758e+03,-1.1207139178488e+03, 3.2392476178457e+02, 4.0392608688756e+01, 1.4262304002742e+02, 2.0201746269230e-03,-2.1709343842521e-04, 5.0013472575872e-05, 5.3745832584872e-06, 2.0201746269230e-03,-2.1709343842521e-04, 5.0013472575872e-05, 5.3745832584872e-06
4,1997.00,0.000,-2.477,9.8230800944023e+01,2.4320,58.9428,0.8857,17.3062,1.2032,0.0000,6.0255,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8560711507188e+03,-1.1208562143292e+03,3.2386183132814e+02,4.0390556904488e+01,1.4262288533335e+02,5.5017971e-01,1.9776467e-02,2.5812448e-02,5.5060345e-03,0.0000000e+00,6.4585290e-02,3.2373475e-03,3.5613935e-02,0.0000000e+00,0.0000000e+00,9.8047665e-02,9.6339224e-04,1.6856993e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8719,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8560711507188e+03,-1.1208562143292e+03, 3.2386183132814e+02, 4.0390556904488e+01, 1.4262288533335e+02, 2.0201685024340e-03,-2.1714344108845e-04, 5.0015861559203e-05, 5.3760942589114e-06, 2.0201685024340e-03,-2.1714344108845e-04, 5.0015861559203e-05, 5.3760942589114e-06
5,1996.00,0.000,-2.481,9.8230770833055e+01,2.4321,58.9428,0.8857,17.3062,1.2028,0.0000,6.0258,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8557467248083e+03,-1.1209985109896e+03,3.2379887350713e+02,4.0388505179904e+01,1.4262273087147e+02,5.5016193e-01,1.9782893e-02,2.5793883e-02,5.5041280e-03,0.0000000e+00,6.4605550e-02,3.2382272e-03,3.5613665e-02,0.0000000e+00,0.0000000e+00,9.8043730e-02,9.6172793e-04,1.6852609e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8743,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8557467248083e+03,-1.1209985109896e+03, 3.2379887350713e+02, 4.0388505179904e+01, 1.4262273087147e+02, 2.0201623871375e-03,-2.1719344055715e-04, 5.0018250938950e-05, 5.3776053258147e-06, 2.0201623871375e-03,-2.1719344055715e-04, 5.0018250938950e-05, 5.3776053258147e-06
6,1995.00,0.000,-2.486,9.8230740767405e+01,2.4323,58.9429,0.8857,17.3062,1.2025,0.0000,6.0261,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8554223628723e+03,-1.1211408078311e+03,3.2373588829716e+02,4.0386453515036e+01,1.4262257664207e+02,5.5014414e-01,1.9789328e-02,2.5775315e-02,5.5022236e-03,0.0000000e+00,6.4625827e-02,3.2391079e-03,3.5613394e-02,0.0000000e+00,0.0000000e+00,9.8039793e-02,9.6006502e-04,1.6848222e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8768,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8554223628723e+03,-1.1211408078311e+03, 3.2373588829716e+02, 4.0386453515036e+01, 1.4262257664207e+02, 2.0201562810449e-03,-2.1724343683617e-04, 5.0020640715403e-05, 5.3791164593170e-06, 2.0201562810449e-03,-2.1724343683617e-04, 5.0020640715403e-05, 5.3791164593170e-06
7,1994.00,0.000,-2.491,9.8230710747130e+01,2.4324,58.9429,0.8857,17.3062,1.2022,0.0000,6.0264,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8550980649391e+03,-1.1212831048552e+03,3.2367287567383e+02,4.0384401909913e+01,1.4262242264542e+02,5.5012634e-01,1.9795770e-02,2.5756744e-02,5.5003213e-03,0.0000000e+00,6.4646119e-02,3.2399896e-03,3.5613123e-02,0.0000000e+00,0.0000000e+00,9.8035852e-02,9.5840351e-04,1.6843832e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8792,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8550980649391e+03,-1.1212831048552e+03, 3.2367287567383e+02, 4.0384401909913e+01, 1.4262242264542e+02, 2.0201501841675e-03,-2.1729342993039e-04, 5.0023030888854e-05, 5.3806276595384e-06, 2.0201501841675e-03,-2.1729342993039e-04, 5.0023030888854e-05, 5.3806276595384e-06
8,1993.00,0.000,-2.496,9.8230680772284e+01,2.4325,58.9429,0.8857,17.3062,1.2019,0.0000,6.0266,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8547738310367e+03,-1.1214254020630e+03,3.2360983561269e+02,4.0382350364566e+01,1.4262226888181e+02,5.5010853e-01,1.9802219e-02,2.5738170e-02,5.4984211e-03,0.0000000e+00,6.4666426e-02,3.2408723e-03,3.5612851e-02,0.0000000e+00,0.0000000e+00,9.8031907e-02,9.5674341e-04,1.6839440e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8817,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8547738310367e+03,-1.1214254020630e+03, 3.2360983561269e+02, 4.0382350364566e+01, 1.4262226888181e+02, 2.0201440965164e-03,-2.1734341984471e-04, 5.0025421459595e-05, 5.3821389265994e-06, 2.0201440965164e-03,-2.1734341984471e-04, 5.0025421459595e-05, 5.3821389265994e-06
9,1992.00,0.000,-2.500,9.8230650842924e+01,2.4326,58.9429,0.8857,17.3062,1.2016,0.0000,6.0269,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8544496611933e+03,-1.1215676994559e+03,3.2354676808928e+02,4.0380298879026e+01,1.4262211535154e+02,5.5009070e-01,1.9808676e-02,2.5719594e-02,5.4965230e-03,0.0000000e+00,6.4686749e-02,3.2417560e-03,3.5612579e-02,0.0000000e+00,0.0000000e+00,9.8027960e-02,9.5508470e-04,1.6835045e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8841,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8544496611933e+03,-1.1215676994559e+03, 3.2354676808928e+02, 4.0380298879026e+01, 1.4262211535154e+02, 2.0201380181032e-03,-2.1739340658400e-04, 5.0027812427918e-05, 5.3836502606203e-06, 2.0201380181032e-03,-2.1739340658400e-04, 5.0027812427918e-05, 5.3836502606203e-06
10,1991.00,0.000,-2.505,9.8230620959106e+01,2.4328,58.9429,0.8857,17.3062,1.2013,0.0000,6.0272,0.1425,3.3900,0.0000,0.0000,6.9123,3.5427,1.6492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8541255554372e+03,-1.1217099970352e+03,3.2348367307908e+02,4.0378247453325e+01,1.4262196205488e+02,5.5007286e-01,1.9815141e-02,2.5701014e-02,5.4946270e-03,0.0000000e+00,6.4707087e-02,3.2426408e-03,3.5612306e-02,0.0000000e+00,0.0000000e+00,9.8024009e-02,9.5342739e-04,1.6830647e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8866,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.8541255554372e+03,-1.1217099970352e+03, 3.2348367307908e+02, 4.0378247453325e+01, 1.4262196205488e+02, 2.0201319489391e-03,-2.1744339015317e-04, 5.0030203794116e-05, 5.3851616617220e-06, 2.0201319489391e-03,-2.1744339015317e-04, 5.0030203794116e-05, 5.3851616617220e-06
