Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
1085,916.00,0.000,-12.264,0.6271,3.9195,32.3162,0.0000,0.0000,0.0000,0.0000,44.7190,10.6649,11.9777,0.0000,0.0000,0.3223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.761,-5.251,1.270,0.160,0.636,0.139763,0.578626,0.000000,0.000000,0.010684,0.270928
1086,915.00,0.000,-12.281,0.6330,3.9199,32.3157,0.0000,0.0000,0.0000,0.0000,44.7739,10.6129,11.9770,0.0000,0.0000,0.3205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.823,-5.301,1.281,0.161,0.642,0.139083,0.579346,0.000000,0.000000,0.010626,0.270945
1087,914.00,0.000,-12.295,0.6353,3.9201,32.3152,0.0000,0.0000,0.0000,0.0000,44.7900,10.6003,11.9757,0.0000,0.0000,0.3189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.846,-5.321,1.285,0.162,0.645,0.138921,0.579562,0.000000,0.000000,0.010573,0.270944
1088,913.00,0.000,-12.310,0.6377,3.9204,32.3147,0.0000,0.0000,0.0000,0.0000,44.8060,10.5877,11.9743,0.0000,0.0000,0.3173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.870,-5.340,1.289,0.163,0.647,0.138758,0.579779,0.000000,0.000000,0.010520,0.270942
1089,912.00,0.000,-12.325,0.6400,3.9207,32.3142,0.0000,0.0000,0.0000,0.0000,44.8221,10.5752,11.9728,0.0000,0.0000,0.3157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.893,-5.360,1.293,0.163,0.649,0.138596,0.579996,0.000000,0.000000,0.010468,0.270940
1090,911.00,0.000,-12.339,0.6423,3.9210,32.3137,0.0000,0.0000,0.0000,0.0000,44.8382,10.5626,11.9714,0.0000,0.0000,0.3141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.917,-5.380,1.298,0.164,0.651,0.138433,0.580214,0.000000,0.000000,0.010416,0.270937
1091,910.00,0.000,-12.355,0.6508,3.9228,32.2989,0.0000,0.0000,0.0000,0.0000,44.9751,10.5043,11.9086,0.0000,0.0000,0.3131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.000,-5.445,1.314,0.166,0.660,0.137733,0.582252,0.000000,0.000000,0.010385,0.269630
1092,909.00,0.000,-12.371,0.6594,3.9247,32.2842,0.0000,0.0000,0.0000,0.0000,45.1114,10.4462,11.8463,0.0000,0.0000,0.3120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.084,-5.511,1.330,0.168,0.668,0.137032,0.584282,0.000000,0.000000,0.010354,0.268331
1093,908.00,0.000,-12.387,0.6680,3.9265,32.2695,0.0000,0.0000,0.0000,0.0000,45.2476,10.3879,11.7841,0.0000,0.0000,0.3109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.168,-5.578,1.347,0.170,0.677,0.136329,0.586313,0.000000,0.000000,0.010324,0.267034
1094,907.00,0.000,-12.402,0.6768,3.9283,32.2549,0.0000,0.0000,0.0000,0.0000,45.3838,10.3294,11.7220,0.0000,0.0000,0.3099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.254,-5.645,1.363,0.172,0.685,0.135623,0.588344,0.000000,0.000000,0.010293,0.265740
1095,906.00,0.000,-12.418,0.6857,3.9302,32.2403,0.0000,0.0000,0.0000,0.0000,45.5200,10.2708,11.6602,0.0000,0.0000,0.3088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.340,-5.713,1.380,0.174,0.694,0.134915,0.590376,0.000000,0.000000,0.010262,0.264447
1096,905.00,0.000,-12.434,0.6946,3.9320,32.2257,0.0000,0.0000,0.0000,0.0000,45.6561,10.2120,11.5985,0.0000,0.0000,0.3077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.428,-5.781,1.397,0.177,0.703,0.134203,0.592409,0.000000,0.000000,0.010231,0.263157
1097,904.00,0.000,-12.450,0.7037,3.9338,32.2112,0.0000,0.0000,0.0000,0.0000,45.7922,10.1530,11.5369,0.0000,0.0000,0.3067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.516,-5.851,1.415,0.179,0.711,0.133489,0.594443,0.000000,0.000000,0.010200,0.261868
1098,903.00,0.000,-12.466,0.7129,3.9356,32.1967,0.0000,0.0000,0.0000,0.0000,45.9282,10.0940,11.4755,0.0000,0.0000,0.3056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.605,-5.921,1.432,0.181,0.720,0.132772,0.596477,0.000000,0.000000,0.010169,0.260583
1099,902.00,0.000,-12.482,0.7221,3.9375,32.1823,0.0000,0.0000,0.0000,0.0000,46.0642,10.0347,11.4143,0.0000,0.0000,0.3045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.695,-5.992,1.450,0.183,0.729,0.132052,0.598511,0.000000,0.000000,0.010138,0.259299
1100,901.00,0.000,-12.498,0.7315,3.9393,32.1679,0.0000,0.0000,0.0000,0.0000,46.2001,9.9754,11.3532,0.0000,0.0000,0.3034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.786,-6.063,1.467,0.186,0.738,0.131330,0.600546,0.000000,0.000000,0.010107,0.258018
1101,900.00,0.000,-12.514,0.7410,3.9411,32.1535,0.0000,0.0000,0.0000,0.0000,46.3359,9.9159,11.2923,0.0000,0.0000,0.3024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.878,-6.136,1.486,0.188,0.748,0.130604,0.602581,0.000000,0.000000,0.010076,0.256739
1102,899.00,0.000,-12.530,0.7506,3.9429,32.1392,0.0000,0.0000,0.0000,0.0000,46.4717,9.8562,11.2315,0.0000,0.0000,0.3013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.971,-6.209,1.504,0.190,0.757,0.129877,0.604616,0.000000,0.000000,0.010045,0.255462
1103,898.00,0.000,-12.547,0.7604,3.9447,32.1249,0.0000,0.0000,0.0000,0.0000,46.6075,9.7964,11.1710,0.0000,0.0000,0.3002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.066,-6.283,1.522,0.193,0.767,0.129146,0.606652,0.000000,0.000000,0.010013,0.254189
1104,897.00,0.000,-12.563,0.7702,3.9465,32.1107,0.0000,0.0000,0.0000,0.0000,46.7431,9.7365,11.1106,0.0000,0.0000,0.2992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.161,-6.358,1.541,0.195,0.776,0.128413,0.608687,0.000000,0.000000,0.009982,0.252917
