Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
858,1143.00,0.000,-8.969,0.3329,3.2811,53.9742,0.0602,2.0551,0.7578,0.0000,14.7516,0.0000,26.6959,0.0000,0.0000,1.6843,0.0209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.219,-4.101,0.789,0.101,0.413,-0.434386,0.933505,0.444599,0.034270,-0.031006,0.051558,0.001462
859,1142.00,0.000,-8.982,0.5763,3.2826,53.9467,0.0601,2.0467,0.7597,0.0000,14.8673,0.0000,26.6075,0.0000,0.0000,1.6911,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.024,-7.092,1.365,0.176,0.714,-0.437702,0.933199,0.448342,0.034080,-0.030821,0.051436,0.001466
860,1141.00,0.000,-8.994,0.8158,3.2842,53.9191,0.0600,2.0384,0.7616,0.0000,14.9831,0.0000,26.5189,0.0000,0.0000,1.6979,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.761,-10.030,1.932,0.248,1.011,-0.441030,0.932894,0.452094,0.033893,-0.030637,0.051316,0.001470
861,1140.00,0.000,-9.006,1.0517,3.2858,53.8914,0.0599,2.0302,0.7635,0.0000,15.0989,0.0000,26.4303,0.0000,0.0000,1.7047,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.434,-12.917,2.489,0.320,1.302,-0.444368,0.932591,0.455854,0.033708,-0.030456,0.051198,0.001474
862,1139.00,0.000,-9.018,1.2840,3.2873,53.8637,0.0598,2.0221,0.7655,0.0000,15.2149,0.0000,26.3416,0.0000,0.0000,1.7114,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.043,-15.755,3.037,0.391,1.589,-0.447717,0.932289,0.459621,0.033524,-0.030276,0.051083,0.001477
863,1138.00,0.000,-9.031,1.5129,3.2889,53.8358,0.0597,2.0141,0.7674,0.0000,15.3310,0.0000,26.2528,0.0000,0.0000,1.7181,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.591,-18.545,3.576,0.460,1.871,-0.451077,0.931988,0.463395,0.033342,-0.030099,0.050970,0.001481
864,1137.00,0.000,-9.043,1.7384,3.2905,53.8079,0.0596,2.0061,0.7693,0.0000,15.4472,0.0000,26.1640,0.0000,0.0000,1.7247,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.079,-21.288,4.106,0.528,2.149,-0.454448,0.931688,0.467177,0.033162,-0.029923,0.050859,0.001485
865,1136.00,0.000,-9.055,1.9607,3.2921,53.7798,0.0594,1.9983,0.7713,0.0000,15.5635,0.0000,26.0751,0.0000,0.0000,1.7313,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.509,-23.987,4.629,0.596,2.422,-0.457828,0.931389,0.470966,0.032983,-0.029749,0.050750,0.001488
866,1135.00,0.000,-9.068,2.1798,3.2937,53.7518,0.0593,1.9906,0.7732,0.0000,15.6798,0.0000,25.9861,0.0000,0.0000,1.7379,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.883,-26.641,5.143,0.662,2.691,-0.461219,0.931092,0.474762,0.032806,-0.029576,0.050643,0.001492
867,1134.00,0.000,-9.080,2.3959,3.2952,53.7236,0.0592,1.9830,0.7752,0.0000,15.7962,0.0000,25.8970,0.0000,0.0000,1.7445,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.203,-29.253,5.649,0.727,2.956,-0.464619,0.930796,0.478564,0.032631,-0.029405,0.050538,0.001495
868,1133.00,0.000,-9.092,2.6091,3.2968,53.6954,0.0591,1.9754,0.7772,0.0000,15.9127,0.0000,25.8079,0.0000,0.0000,1.7510,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.469,-31.824,6.148,0.791,3.217,-0.468029,0.930501,0.482373,0.032458,-0.029236,0.050435,0.001498
869,1132.00,0.000,-9.105,2.8193,3.2984,53.6670,0.0590,1.9680,0.7792,0.0000,16.0293,0.0000,25.7188,0.0000,0.0000,1.7574,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.684,-34.354,6.639,0.855,3.475,-0.471449,0.930207,0.486188,0.032286,-0.029068,0.050335,0.001501
870,1131.00,0.000,-9.117,3.0268,3.3000,53.6387,0.0589,1.9606,0.7812,0.0000,16.1458,0.0000,25.6296,0.0000,0.0000,1.7638,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.848,-36.845,7.124,0.917,3.728,-0.474877,0.929915,0.490010,0.032115,-0.028902,0.050236,0.001504
871,1130.00,0.000,-9.129,3.2315,3.3016,53.6102,0.0588,1.9533,0.7832,0.0000,16.2625,0.0000,25.5404,0.0000,0.0000,1.7702,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.964,-39.298,7.601,0.979,3.978,-0.478315,0.929624,0.493837,0.031946,-0.028738,0.050139,0.001507
872,1129.00,0.000,-9.142,3.4336,3.3032,53.5818,0.0586,1.9461,0.7852,0.0000,16.3791,0.0000,25.4511,0.0000,0.0000,1.7766,0.0214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.032,-41.714,8.071,1.039,4.224,-0.481761,0.929334,0.497669,0.031779,-0.028575,0.050043,0.001510
873,1128.00,0.000,-9.154,3.6332,3.3048,53.5532,0.0585,1.9390,0.7873,0.0000,16.4958,0.0000,25.3619,0.0000,0.0000,1.7829,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-56.053,-44.094,8.535,1.099,4.467,-0.485215,0.929045,0.501507,0.031613,-0.028413,0.049950,0.001513
874,1127.00,0.000,-9.167,3.8302,3.3064,53.5246,0.0584,1.9319,0.7893,0.0000,16.6125,0.0000,25.2726,0.0000,0.0000,1.7891,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.030,-46.439,8.993,1.158,4.706,-0.488678,0.928758,0.505350,0.031448,-0.028253,0.049858,0.001516
875,1126.00,0.000,-9.179,4.0248,3.3080,53.4960,0.0583,1.9250,0.7914,0.0000,16.7293,0.0000,25.1833,0.0000,0.0000,1.7953,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.963,-48.750,9.444,1.217,4.942,-0.492148,0.928472,0.509198,0.031285,-0.028094,0.049768,0.001518
876,1125.00,0.000,-9.192,4.2171,3.3097,53.4673,0.0582,1.9181,0.7934,0.0000,16.8460,0.0000,25.0940,0.0000,0.0000,1.8015,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.854,-51.028,9.889,1.274,5.175,-0.495626,0.928187,0.513051,0.031123,-0.027936,0.049680,0.001521
877,1124.00,0.000,-9.204,4.4071,3.3113,53.4385,0.0581,1.9112,0.7955,0.0000,16.9627,0.0000,25.0047,0.0000,0.0000,1.8077,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.703,-53.273,10.328,1.331,5.405,-0.499111,0.927904,0.516908,0.030962,-0.027780,0.049593,0.001523
