Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),   geikielite,     hematite,     ilmenite,  pyrophanite,     corundum
991,1010.00,0.000,-10.758,0.2233,4.5654,0.0000,47.6162,2.8844,10.0257,0.0000,32.8910,2.3485,4.2341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.324,-1.749,0.448,0.049,0.213,0.152911,0.091382,0.666344,0.048187,0.041176
992,1009.00,0.000,-10.773,0.2577,4.5664,0.0000,47.6135,2.8734,10.0260,0.0000,32.9189,2.3545,4.2137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.681,-2.018,0.517,0.056,0.246,0.152205,0.091402,0.667045,0.048320,0.041027
993,1008.00,0.000,-10.788,0.2908,4.5672,0.0000,47.6102,2.8641,10.0259,0.0000,32.9456,2.3606,4.1936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.023,-2.277,0.583,0.064,0.278,0.151507,0.091419,0.667716,0.048456,0.040902
994,1007.00,0.000,-10.803,0.3238,4.5681,0.0000,47.6070,2.8548,10.0257,0.0000,32.9723,2.3666,4.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.365,-2.534,0.649,0.071,0.309,0.150815,0.091435,0.668384,0.048588,0.040778
995,1006.00,0.000,-10.818,0.3567,4.5690,0.0000,47.6039,2.8457,10.0254,0.0000,32.9989,2.3725,4.1538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.704,-2.790,0.714,0.078,0.340,0.150126,0.091450,0.669051,0.048718,0.040655
996,1005.00,0.000,-10.833,0.3895,4.5698,0.0000,47.6008,2.8366,10.0250,0.0000,33.0254,2.3782,4.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.042,-3.046,0.780,0.085,0.372,0.149442,0.091464,0.669716,0.048845,0.040533
997,1004.00,0.000,-10.848,0.4221,4.5707,0.0000,47.5978,2.8275,10.0245,0.0000,33.0519,2.3838,4.1145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.379,-3.300,0.844,0.092,0.403,0.148763,0.091476,0.670379,0.048970,0.040411
998,1003.00,0.000,-10.863,0.4547,4.5716,0.0000,47.5948,2.8186,10.0239,0.0000,33.0783,2.3893,4.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.714,-3.554,0.909,0.099,0.434,0.148088,0.091488,0.671041,0.049092,0.040291
999,1002.00,0.000,-10.878,0.4871,4.5724,0.0000,47.5919,2.8097,10.0233,0.0000,33.1047,2.3947,4.0757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.048,-3.806,0.974,0.107,0.464,0.147417,0.091499,0.671701,0.049212,0.040171
1000,1001.00,0.000,-10.893,0.5195,4.5732,0.0000,47.5891,2.8009,10.0225,0.0000,33.1310,2.4000,4.0566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.380,-4.058,1.038,0.114,0.495,0.146750,0.091509,0.672359,0.049329,0.040053
1001,1000.00,0.000,-10.908,0.5517,4.5741,0.0000,47.5863,2.7921,10.0216,0.0000,33.1573,2.4051,4.0375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.711,-4.308,1.102,0.121,0.526,0.146087,0.091518,0.673016,0.049444,0.039935
1002,999.00,0.000,-10.923,0.5839,4.5749,0.0000,47.5836,2.7835,10.0207,0.0000,33.1835,2.4102,4.0186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.040,-4.558,1.165,0.128,0.556,0.145428,0.091526,0.673671,0.049556,0.039818
1003,998.00,0.000,-10.938,0.6159,4.5757,0.0000,47.5810,2.7748,10.0196,0.0000,33.2097,2.4151,3.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.369,-4.807,1.229,0.135,0.587,0.144774,0.091533,0.674325,0.049666,0.039702
1004,997.00,0.000,-10.953,0.6478,4.5766,0.0000,47.5784,2.7663,10.0185,0.0000,33.2359,2.4199,3.9811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.695,-5.055,1.292,0.142,0.617,0.144123,0.091539,0.674977,0.049774,0.039587
1005,996.00,0.000,-10.969,0.6797,4.5774,0.0000,47.5759,2.7578,10.0172,0.0000,33.2620,2.4246,3.9625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.021,-5.302,1.355,0.148,0.647,0.143477,0.091544,0.675628,0.049879,0.039472
1006,995.00,0.000,-10.984,0.7114,4.5782,0.0000,47.5735,2.7494,10.0159,0.0000,33.2880,2.4291,3.9441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.345,-5.548,1.417,0.155,0.677,0.142835,0.091548,0.676277,0.049982,0.039359
1007,994.00,0.000,-10.999,0.7431,4.5790,0.0000,47.5711,2.7410,10.0145,0.0000,33.3140,2.4336,3.9257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.668,-5.793,1.480,0.162,0.707,0.142196,0.091551,0.676924,0.050083,0.039246
1008,993.00,0.000,-11.014,0.7746,4.5798,0.0000,47.5688,2.7327,10.0130,0.0000,33.3400,2.4380,3.9075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.989,-6.037,1.542,0.169,0.737,0.141561,0.091553,0.677570,0.050182,0.039134
1009,992.00,0.000,-11.029,0.8061,4.5806,0.0000,47.5666,2.7245,10.0114,0.0000,33.3659,2.4422,3.8894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.310,-6.281,1.604,0.176,0.767,0.140930,0.091555,0.678215,0.050278,0.039023
1010,991.00,0.000,-11.045,0.8375,4.5814,0.0000,47.5644,2.7163,10.0097,0.0000,33.3918,2.4464,3.8715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.628,-6.523,1.665,0.183,0.796,0.140303,0.091555,0.678858,0.050372,0.038912
1011,990.00,0.000,-11.060,0.8688,4.5821,0.0000,47.5623,2.7082,10.0079,0.0000,33.4176,2.4504,3.8536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.946,-6.765,1.727,0.190,0.826,0.139680,0.091554,0.679500,0.050464,0.038802
1012,989.00,0.000,-11.075,0.8789,4.5825,0.0000,47.5752,2.7009,9.9851,0.0000,33.4307,2.4617,3.8464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.048,-6.844,1.746,0.192,0.835,0.139430,0.091353,0.679817,0.050700,0.038701
1013,988.00,0.000,-11.091,0.8870,4.5829,0.0000,47.5895,2.6937,9.9605,0.0000,33.4425,2.4736,3.8402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.130,-6.908,1.762,0.194,0.843,0.139215,0.091133,0.680103,0.050948,0.038600
1014,987.00,0.000,-11.106,0.8950,4.5833,0.0000,47.6038,2.6866,9.9358,0.0000,33.4543,2.4854,3.8341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.210,-6.971,1.777,0.195,0.850,0.139003,0.090914,0.680387,0.051195,0.038501
1015,986.00,0.000,-11.122,0.9029,4.5837,0.0000,47.6181,2.6795,9.9112,0.0000,33.4659,2.4972,3.8281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.289,-7.033,1.792,0.197,0.858,0.138794,0.090694,0.680668,0.051441,0.038402
1016,985.00,0.000,-11.137,0.9107,4.5840,0.0000,47.6324,2.6725,9.8866,0.0000,33.4775,2.5089,3.8222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.367,-7.094,1.806,0.199,0.865,0.138587,0.090475,0.680948,0.051685,0.038305
1017,984.00,0.000,-11.152,0.9184,4.5844,0.0000,47.6467,2.6656,9.8620,0.0000,33.4890,2.5205,3.8163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.443,-7.154,1.821,0.200,0.872,0.138384,0.090255,0.681225,0.051928,0.038208
1018,983.00,0.000,-11.168,0.9259,4.5847,0.0000,47.6609,2.6587,9.8374,0.0000,33.5004,2.5321,3.8105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.519,-7.214,1.835,0.202,0.879,0.138182,0.090036,0.681500,0.052170,0.038111
1019,982.00,0.000,-11.183,0.9334,4.5851,0.0000,47.6751,2.6519,9.8128,0.0000,33.5117,2.5436,3.8048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.593,-7.272,1.849,0.204,0.886,0.137983,0.089817,0.681773,0.052411,0.038016
1020,981.00,0.000,-11.199,0.9407,4.5854,0.0000,47.6894,2.6451,9.7883,0.0000,33.5230,2.5551,3.7991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.666,-7.330,1.863,0.205,0.892,0.137787,0.089598,0.682043,0.052650,0.037921
1021,980.00,0.000,-11.214,0.9479,4.5858,0.0000,47.7036,2.6384,9.7639,0.0000,33.5342,2.5665,3.7936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.738,-7.387,1.876,0.207,0.899,0.137592,0.089380,0.682312,0.052889,0.037827
1022,979.00,0.000,-11.230,0.9550,4.5861,0.0000,47.7177,2.6317,9.7394,0.0000,33.5453,2.5778,3.7880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.809,-7.443,1.889,0.208,0.906,0.137400,0.089161,0.682579,0.053126,0.037734
1023,978.00,0.000,-11.246,0.9621,4.5865,0.0000,47.7319,2.6251,9.7150,0.0000,33.5563,2.5891,3.7826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.878,-7.498,1.902,0.210,0.912,0.137210,0.088943,0.682844,0.053361,0.037642
1024,977.00,0.000,-11.261,0.9690,4.5868,0.0000,47.7460,2.6186,9.6907,0.0000,33.5672,2.6003,3.7772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.947,-7.553,1.915,0.211,0.918,0.137022,0.088725,0.683107,0.053596,0.037550
1025,976.00,0.000,-11.277,0.9758,4.5871,0.0000,47.7601,2.6121,9.6664,0.0000,33.5781,2.6115,3.7718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.015,-7.606,1.928,0.213,0.924,0.136836,0.088508,0.683368,0.053829,0.037459
