Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
937,1064.00,0.000,-9.989,0.1161,4.6993,0.0000,19.0178,2.9232,30.6978,0.0000,43.8960,0.0000,3.4653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.972,-0.650,0.241,0.025,0.107,0.000000,-0.124874,0.418874,0.187346,0.518655
938,1063.00,0.000,-10.003,0.1584,4.7002,0.0000,19.0427,2.9010,30.6662,0.0000,43.9430,0.0000,3.4472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.325,-0.887,0.328,0.034,0.146,0.000000,-0.124401,0.418537,0.186411,0.519452
939,1062.00,0.000,-10.017,0.1994,4.7011,0.0000,19.0683,2.8790,30.6330,0.0000,43.9902,0.0000,3.4295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.667,-1.116,0.413,0.042,0.184,0.000000,-0.123943,0.418178,0.185498,0.520267
940,1061.00,0.000,-10.030,0.2391,4.7019,0.0000,19.0946,2.8574,30.5984,0.0000,44.0374,0.0000,3.4123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.998,-1.338,0.495,0.051,0.220,0.000000,-0.123501,0.417797,0.184606,0.521098
941,1060.00,0.000,-10.044,0.2776,4.7028,0.0000,19.1215,2.8360,30.5624,0.0000,44.0846,0.0000,3.3955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.318,-1.553,0.574,0.059,0.256,0.000000,-0.123073,0.417394,0.183734,0.521945
942,1059.00,0.000,-10.058,0.3149,4.7036,0.0000,19.1491,2.8150,30.5250,0.0000,44.1319,0.0000,3.3790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.628,-1.761,0.651,0.067,0.290,0.000000,-0.122659,0.416969,0.182883,0.522807
943,1058.00,0.000,-10.072,0.3510,4.7044,0.0000,19.1773,2.7942,30.4863,0.0000,44.1792,0.0000,3.3630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.928,-1.963,0.725,0.075,0.323,0.000000,-0.122258,0.416525,0.182050,0.523683
944,1057.00,0.000,-10.085,0.3861,4.7051,0.0000,19.2062,2.7737,30.4463,0.0000,44.2266,0.0000,3.3473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.219,-2.158,0.797,0.082,0.355,0.000000,-0.121871,0.416061,0.181236,0.524574
945,1056.00,0.000,-10.099,0.4201,4.7059,0.0000,19.2355,2.7535,30.4050,0.0000,44.2740,0.0000,3.3319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.500,-2.347,0.867,0.089,0.386,0.000000,-0.121497,0.415578,0.180441,0.525478
946,1055.00,0.000,-10.113,0.4530,4.7066,0.0000,19.2655,2.7335,30.3626,0.0000,44.3214,0.0000,3.3169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.773,-2.531,0.935,0.096,0.417,0.000000,-0.121135,0.415076,0.179663,0.526395
947,1054.00,0.000,-10.127,0.4850,4.7073,0.0000,19.2959,2.7139,30.3190,0.0000,44.3689,0.0000,3.3023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.037,-2.709,1.000,0.103,0.446,0.000000,-0.120784,0.414557,0.178902,0.527325
948,1053.00,0.000,-10.141,0.5160,4.7080,0.0000,19.3269,2.6945,30.2743,0.0000,44.4164,0.0000,3.2879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.292,-2.881,1.064,0.110,0.474,0.000000,-0.120445,0.414021,0.178157,0.528267
949,1052.00,0.000,-10.155,0.5461,4.7087,0.0000,19.3584,2.6753,30.2285,0.0000,44.4638,0.0000,3.2739,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.540,-3.049,1.126,0.116,0.502,0.000000,-0.120117,0.413467,0.177429,0.529221
950,1051.00,0.000,-10.169,0.5753,4.7093,0.0000,19.3903,2.6564,30.1817,0.0000,44.5113,0.0000,3.2602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.781,-3.211,1.185,0.122,0.529,0.000000,-0.119800,0.412898,0.176717,0.530185
