Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
865,1136.00,0.000,-9.055,6.1692,3.2613,50.0856,0.9513,4.4046,2.1106,0.0000,7.2906,0.0000,15.2470,0.0000,0.0000,19.6813,0.2288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.984,-77.984,14.193,1.892,7.255,0.411589,0.202113,0.225948,0.085050,-0.032027,0.090885,0.016442
866,1135.00,0.000,-9.068,6.4486,3.2624,50.0506,0.9655,4.4118,2.1256,0.0000,7.3411,0.0000,15.2107,0.0000,0.0000,19.6643,0.2303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-102.359,-81.476,14.830,1.977,7.581,0.408766,0.202444,0.227578,0.085365,-0.031535,0.090827,0.016555
867,1134.00,0.000,-9.080,6.7241,3.2635,50.0152,0.9799,4.4192,2.1407,0.0000,7.3914,0.0000,15.1740,0.0000,0.0000,19.6478,0.2318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-106.667,-84.916,15.457,2.060,7.902,0.405949,0.202756,0.229206,0.085688,-0.031038,0.090770,0.016668
868,1133.00,0.000,-9.092,6.9960,3.2646,49.9792,0.9946,4.4268,2.1560,0.0000,7.4416,0.0000,15.1368,0.0000,0.0000,19.6316,0.2334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.910,-88.306,16.075,2.143,8.219,0.403137,0.203050,0.230833,0.086022,-0.030537,0.090714,0.016782
869,1132.00,0.000,-9.105,7.2642,3.2657,49.9428,1.0095,4.4346,2.1714,0.0000,7.4917,0.0000,15.0991,0.0000,0.0000,19.6159,0.2349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.091,-91.647,16.685,2.224,8.531,0.400330,0.203326,0.232457,0.086365,-0.030031,0.090657,0.016897
870,1131.00,0.000,-9.117,7.5290,3.2668,49.9059,1.0247,4.4427,2.1870,0.0000,7.5417,0.0000,15.0609,0.0000,0.0000,19.6006,0.2364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-119.212,-94.941,17.285,2.305,8.839,0.397529,0.203583,0.234080,0.086718,-0.029520,0.090600,0.017012
871,1130.00,0.000,-9.129,7.7904,3.2679,49.8685,1.0401,4.4510,2.2028,0.0000,7.5916,0.0000,15.0223,0.0000,0.0000,19.5857,0.2380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-123.273,-98.188,17.878,2.384,9.142,0.394733,0.203820,0.235699,0.087081,-0.029004,0.090544,0.017128
872,1129.00,0.000,-9.142,8.0485,3.2690,49.8305,1.0558,4.4595,2.2187,0.0000,7.6413,0.0000,14.9833,0.0000,0.0000,19.5713,0.2395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-127.277,-101.391,18.462,2.462,9.442,0.391943,0.204037,0.237317,0.087455,-0.028483,0.090487,0.017245
873,1128.00,0.000,-9.154,8.3034,3.2702,49.7920,1.0718,4.4683,2.2348,0.0000,7.6909,0.0000,14.9437,0.0000,0.0000,19.5573,0.2411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-131.226,-104.550,19.038,2.539,9.737,0.389158,0.204235,0.238931,0.087840,-0.027956,0.090430,0.017362
874,1127.00,0.000,-9.167,8.5552,3.2713,49.7530,1.0881,4.4774,2.2511,0.0000,7.7404,0.0000,14.9037,0.0000,0.0000,19.5437,0.2426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-135.120,-107.667,19.607,2.615,10.029,0.386379,0.204413,0.240542,0.088237,-0.027424,0.090372,0.017480
875,1126.00,0.000,-9.179,8.8041,3.2725,49.7134,1.1047,4.4867,2.2676,0.0000,7.7896,0.0000,14.8631,0.0000,0.0000,19.5307,0.2442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-138.962,-110.743,20.169,2.690,10.317,0.383606,0.204569,0.242150,0.088646,-0.026885,0.090315,0.017599
876,1125.00,0.000,-9.192,9.0500,3.2736,49.6731,1.1216,4.4963,2.2843,0.0000,7.8387,0.0000,14.8221,0.0000,0.0000,19.5180,0.2458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-142.753,-113.779,20.723,2.765,10.601,0.380839,0.204705,0.243754,0.089067,-0.026340,0.090256,0.017719
877,1124.00,0.000,-9.204,9.2931,3.2748,49.6323,1.1389,4.5062,2.3012,0.0000,7.8877,0.0000,14.7805,0.0000,0.0000,19.5059,0.2474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-146.494,-116.777,21.270,2.838,10.881,0.378077,0.204819,0.245354,0.089501,-0.025789,0.090197,0.017839
878,1123.00,0.000,-9.217,9.5335,3.2760,49.5909,1.1565,4.5163,2.3182,0.0000,7.9364,0.0000,14.7385,0.0000,0.0000,19.4942,0.2490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.188,-119.737,21.811,2.910,11.159,0.375321,0.204912,0.246951,0.089949,-0.025231,0.090138,0.017961
879,1122.00,0.000,-9.229,9.7712,3.2771,49.5488,1.1745,4.5268,2.3355,0.0000,7.9850,0.0000,14.6959,0.0000,0.0000,19.4830,0.2506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-153.834,-122.660,22.345,2.982,11.432,0.372570,0.204983,0.248542,0.090410,-0.024666,0.090077,0.018083
880,1121.00,0.000,-9.242,10.0064,3.2783,49.5060,1.1928,4.5375,2.3529,0.0000,8.0333,0.0000,14.6528,0.0000,0.0000,19.4723,0.2522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-157.436,-125.548,22.872,3.052,11.703,0.369825,0.205031,0.250130,0.090886,-0.024093,0.090015,0.018206
881,1120.00,0.000,-9.254,10.2391,3.2795,49.4626,1.2115,4.5486,2.3706,0.0000,8.0815,0.0000,14.6092,0.0000,0.0000,19.4621,0.2538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.993,-128.402,23.394,3.122,11.971,0.367085,0.205057,0.251712,0.091376,-0.023513,0.089953,0.018330
882,1119.00,0.000,-9.267,10.4694,3.2807,49.4185,1.2306,4.5600,2.3885,0.0000,8.1294,0.0000,14.5650,0.0000,0.0000,19.4525,0.2555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-164.508,-131.223,23.909,3.191,12.235,0.364351,0.205060,0.253289,0.091883,-0.022926,0.089888,0.018455
883,1118.00,0.000,-9.280,10.6973,3.2819,49.3736,1.2502,4.5717,2.4066,0.0000,8.1771,0.0000,14.5203,0.0000,0.0000,19.4433,0.2571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-167.981,-134.011,24.418,3.259,12.496,0.361621,0.205040,0.254860,0.092405,-0.022329,0.089823,0.018581
884,1117.00,0.000,-9.292,10.9230,3.2832,49.3280,1.2701,4.5838,2.4250,0.0000,8.2245,0.0000,14.4751,0.0000,0.0000,19.4346,0.2588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-171.413,-136.768,24.922,3.327,12.755,0.358896,0.204996,0.256426,0.092944,-0.021725,0.089756,0.018708
885,1116.00,0.000,-9.305,11.1465,3.2844,49.2816,1.2906,4.5962,2.4435,0.0000,8.2717,0.0000,14.4293,0.0000,0.0000,19.4265,0.2605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-174.807,-139.494,25.420,3.394,13.010,0.356175,0.204928,0.257985,0.093501,-0.021111,0.089686,0.018836
886,1115.00,0.000,-9.318,11.3679,3.2856,49.2345,1.3115,4.6090,2.4623,0.0000,8.3187,0.0000,14.3829,0.0000,0.0000,19.4189,0.2622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-178.163,-142.191,25.913,3.460,13.263,0.353459,0.204836,0.259539,0.094076,-0.020489,0.089615,0.018964
887,1114.00,0.000,-9.330,11.5873,3.2869,49.1865,1.3329,4.6222,2.4814,0.0000,8.3653,0.0000,14.3360,0.0000,0.0000,19.4118,0.2639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-181.482,-144.860,26.401,3.525,13.514,0.350746,0.204719,0.261085,0.094670,-0.019856,0.089542,0.019094
888,1113.00,0.000,-9.343,15.4571,3.2833,49.7490,1.0421,4.2413,2.2974,0.0000,8.7871,0.0000,14.7281,0.0000,0.0000,18.9037,0.2512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-241.914,-193.056,35.247,4.708,18.063,0.335538,0.226851,0.273930,0.081080,-0.022655,0.087097,0.018159
889,1112.00,0.000,-9.356,16.0376,3.2837,49.7916,1.0203,4.1990,2.2830,0.0000,8.8784,0.0000,14.7534,0.0000,0.0000,18.8236,0.2507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-250.856,-200.213,36.561,4.884,18.741,0.331241,0.230034,0.276796,0.079764,-0.022558,0.086602,0.018122
890,1111.00,0.000,-9.368,16.5783,3.2841,49.8323,0.9999,4.1584,2.2686,0.0000,8.9666,0.0000,14.7787,0.0000,0.0000,18.7451,0.2502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-259.171,-206.872,37.784,5.048,19.373,0.327022,0.233158,0.279563,0.078526,-0.022460,0.086105,0.018085
891,1110.00,0.000,-9.381,17.0848,3.2845,49.8714,0.9808,4.1194,2.2543,0.0000,9.0521,0.0000,14.8042,0.0000,0.0000,18.6680,0.2497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-266.946,-213.102,38.928,5.202,19.965,0.322867,0.236234,0.282245,0.077360,-0.022360,0.085607,0.018047
892,1109.00,0.000,-9.394,17.5615,3.2849,49.9091,0.9629,4.0819,2.2400,0.0000,9.1352,0.0000,14.8298,0.0000,0.0000,18.5920,0.2491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-274.251,-218.960,40.004,5.346,20.522,0.318769,0.239268,0.284849,0.076257,-0.022261,0.085109,0.018008
893,1108.00,0.000,-9.407,18.0121,3.2852,49.9454,0.9459,4.0457,2.2257,0.0000,9.2161,0.0000,14.8556,0.0000,0.0000,18.5171,0.2485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-281.143,-224.490,41.019,5.483,21.048,0.314717,0.242268,0.287385,0.075211,-0.022163,0.084613,0.017969
894,1107.00,0.000,-9.420,18.4396,3.2856,49.9805,0.9299,4.0107,2.2114,0.0000,9.2950,0.0000,14.8816,0.0000,0.0000,18.4429,0.2480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-287.673,-229.733,41.981,5.612,21.548,0.310705,0.245238,0.289860,0.074217,-0.022066,0.084119,0.017927
895,1106.00,0.000,-9.433,18.8467,3.2860,50.0145,0.9147,3.9769,2.1972,0.0000,9.3722,0.0000,14.9078,0.0000,0.0000,18.3695,0.2474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-293.880,-234.720,42.896,5.735,22.024,0.306727,0.248184,0.292278,0.073272,-0.021973,0.083628,0.017884
896,1105.00,0.000,-9.445,19.2355,3.2864,50.0474,0.9002,3.9441,2.1830,0.0000,9.4477,0.0000,14.9341,0.0000,0.0000,18.2968,0.2467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-299.800,-239.479,43.769,5.853,22.478,0.302778,0.251109,0.294645,0.072370,-0.021882,0.083141,0.017839
897,1104.00,0.000,-9.458,19.6079,3.2868,50.0795,0.8863,3.9124,2.1688,0.0000,9.5218,0.0000,14.9606,0.0000,0.0000,18.2246,0.2461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-305.461,-244.034,44.605,5.966,22.913,0.298854,0.254016,0.296965,0.071509,-0.021795,0.082658,0.017793
898,1103.00,0.000,-9.471,19.9657,3.2871,50.1106,0.8731,3.8816,2.1546,0.0000,9.5945,0.0000,14.9874,0.0000,0.0000,18.1528,0.2454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-310.891,-248.405,45.406,6.074,23.332,0.294951,0.256908,0.299242,0.070686,-0.021712,0.082180,0.017744
899,1102.00,0.000,-9.484,20.1428,3.2873,50.1219,0.8693,3.8652,2.1498,0.0000,9.6141,0.0000,14.9800,0.0000,0.0000,18.1538,0.2459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-313.565,-250.597,45.790,6.127,23.535,0.294952,0.256782,0.299872,0.070274,-0.021509,0.081844,0.017784
899,1102.00,0.000,-9.484,0.3489,3.3226,51.6419,0.2614,2.7436,1.4229,0.0000,17.1639,0.0000,20.3839,0.0000,0.0000,6.2901,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.268,-4.157,0.808,0.105,0.416,-0.366374,0.743304,0.532603,0.044102,-0.029514,0.069244,0.006636
900,1101.00,0.000,-9.497,20.2911,3.2875,50.1311,0.8667,3.8506,2.1456,0.0000,9.6274,0.0000,14.9696,0.0000,0.0000,18.1624,0.2466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-315.798,-252.440,46.107,6.172,23.705,0.295371,0.256347,0.300308,0.069921,-0.021299,0.081522,0.017830
900,1101.00,0.000,-9.497,0.7122,3.3230,51.6455,0.2595,2.7305,1.4184,0.0000,17.2039,0.0000,20.3710,0.0000,0.0000,6.2789,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.748,-8.483,1.648,0.214,0.850,-0.367707,0.743715,0.533915,0.043830,-0.029345,0.068955,0.006636
901,1100.00,0.000,-9.510,20.4282,3.2877,50.1400,0.8644,3.8365,2.1414,0.0000,9.6397,0.0000,14.9595,0.0000,0.0000,18.1714,0.2471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-317.859,-254.147,46.399,6.213,23.861,0.295825,0.255895,0.300709,0.069589,-0.021093,0.081201,0.017873
901,1100.00,0.000,-9.510,1.0568,3.3235,51.6493,0.2578,2.7175,1.4138,0.0000,17.2428,0.0000,20.3592,0.0000,0.0000,6.2674,0.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.942,-12.585,2.445,0.318,1.261,-0.369021,0.744141,0.535192,0.043568,-0.029180,0.068666,0.006634
902,1099.00,0.000,-9.523,20.5551,3.2879,50.1485,0.8624,3.8228,2.1370,0.0000,9.6509,0.0000,14.9496,0.0000,0.0000,18.1810,0.2477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-319.762,-255.728,46.667,6.252,24.006,0.296313,0.255430,0.301077,0.069278,-0.020891,0.080880,0.017914
902,1099.00,0.000,-9.523,1.3844,3.3240,51.6533,0.2561,2.7047,1.4091,0.0000,17.2808,0.0000,20.3482,0.0000,0.0000,6.2557,0.0921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.875,-16.483,3.201,0.416,1.651,-0.370320,0.744579,0.536436,0.043314,-0.029020,0.068379,0.006631
903,1098.00,0.000,-9.536,20.6727,3.2881,50.1568,0.8607,3.8096,2.1325,0.0000,9.6612,0.0000,14.9400,0.0000,0.0000,18.1910,0.2482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-321.523,-257.197,46.913,6.287,24.140,0.296830,0.254951,0.301415,0.068986,-0.020694,0.080561,0.017952
903,1098.00,0.000,-9.536,1.6966,3.3244,51.6574,0.2544,2.6922,1.4043,0.0000,17.3179,0.0000,20.3381,0.0000,0.0000,6.2438,0.0921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.573,-20.195,3.922,0.510,2.023,-0.371605,0.745029,0.537650,0.043070,-0.028864,0.068093,0.006627
904,1097.00,0.000,-9.549,20.7819,3.2883,50.1648,0.8592,3.7968,2.1280,0.0000,9.6706,0.0000,14.9306,0.0000,0.0000,18.2014,0.2487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-323.152,-258.562,47.141,6.320,24.264,0.297375,0.254459,0.301724,0.068713,-0.020502,0.080243,0.017988
904,1097.00,0.000,-9.549,1.9947,3.3249,51.6615,0.2529,2.6798,1.3993,0.0000,17.3541,0.0000,20.3287,0.0000,0.0000,6.2316,0.0920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.054,-23.739,4.609,0.600,2.379,-0.372875,0.745490,0.538836,0.042833,-0.028713,0.067808,0.006621
905,1096.00,0.000,-9.562,20.8832,3.2884,50.1725,0.8579,3.7843,2.1233,0.0000,9.6791,0.0000,14.9214,0.0000,0.0000,18.2123,0.2491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-324.661,-259.831,47.350,6.351,24.378,0.297946,0.253956,0.302007,0.068457,-0.020314,0.079928,0.018021
905,1096.00,0.000,-9.562,2.2799,3.3253,51.6658,0.2514,2.6677,1.3943,0.0000,17.3896,0.0000,20.3201,0.0000,0.0000,6.2193,0.0919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.339,-27.129,5.266,0.686,2.718,-0.374134,0.745962,0.539995,0.042605,-0.028567,0.067526,0.006614
906,1095.00,0.000,-9.575,20.9773,3.2886,50.1799,0.8569,3.7723,2.1186,0.0000,9.6869,0.0000,14.9124,0.0000,0.0000,18.2235,0.2495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-326.059,-261.013,47.543,6.379,24.485,0.298540,0.253442,0.302264,0.068219,-0.020132,0.079615,0.018052
