Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
820,1181.00,0.000,-8.518,0.5331,2.6575,49.7862,0.0000,32.1743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9272,2.9601,0.1521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.257,-7.365,1.301,0.201,0.656,0.261748,0.729403,0.008850
821,1180.00,0.000,-8.530,1.2116,2.6572,49.8389,0.0000,32.1383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8852,2.9829,0.1547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.038,-16.741,2.957,0.456,1.492,0.263736,0.727264,0.008999
822,1179.00,0.000,-8.542,1.8799,2.6568,49.8913,0.0000,32.1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8433,3.0056,0.1573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32.636,-25.975,4.587,0.708,2.315,0.265714,0.725136,0.009151
823,1178.00,0.000,-8.553,2.5382,2.6564,49.9435,0.0000,32.0666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8017,3.0282,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.058,-35.072,6.192,0.955,3.125,0.267679,0.723017,0.009304
824,1177.00,0.000,-8.565,3.1866,2.6561,49.9954,0.0000,32.0311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7602,3.0507,0.1627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.306,-44.035,7.772,1.200,3.923,0.269632,0.720910,0.009458
825,1176.00,0.000,-8.576,3.8255,2.6557,50.0471,0.0000,31.9956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7189,3.0730,0.1654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.385,-52.866,9.329,1.440,4.709,0.271573,0.718812,0.009615
826,1175.00,0.000,-8.588,4.4551,2.6554,50.0985,0.0000,31.9604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6778,3.0951,0.1681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.299,-61.569,10.862,1.678,5.483,0.273501,0.716726,0.009773
827,1174.00,0.000,-8.600,5.0754,2.6550,50.1497,0.0000,31.9253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6370,3.1172,0.1709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.050,-70.146,12.372,1.912,6.247,0.275417,0.714650,0.009932
828,1173.00,0.000,-8.611,5.6869,2.6547,50.2006,0.0000,31.8904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5963,3.1391,0.1737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-98.643,-78.600,13.860,2.142,6.999,0.277321,0.712585,0.010094
829,1172.00,0.000,-8.623,6.2895,2.6543,50.2512,0.0000,31.8557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5558,3.1608,0.1765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-109.081,-86.933,15.326,2.370,7.740,0.279211,0.710532,0.010257
