Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K)
1,2000.00,0.000,-2.462,9.7869058069800e+01,2.5382,50.2713,1.8801,16.0418,1.8232,0.0000,9.1292,0.2044,6.8765,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8043618746032e+03,-1.0664035076246e+03,3.2464129818913e+02,3.8558618299194e+01,1.4518774360164e+02,4.3109003e-01,3.3250170e-02,2.8149605e-02,5.5958353e-03,0.0000000e+00,7.5191550e-02,4.1634369e-03,6.5172066e-02,0.0000000e+00,0.0000000e+00,1.3383495e-01,1.4015344e-03,1.9253637e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1127,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
2,1999.00,0.000,-2.467,9.7869012433712e+01,2.5384,50.2713,1.8801,16.0418,1.8228,0.0000,9.1296,0.2044,6.8765,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8040363416464e+03,-1.0665481976868e+03,3.2457722595761e+02,3.8556109668616e+01,1.4518750949970e+02,4.3108706e-01,3.3255864e-02,2.8129485e-02,5.5925285e-03,0.0000000e+00,7.5203015e-02,4.1641328e-03,6.5165147e-02,0.0000000e+00,0.0000000e+00,1.3382053e-01,1.3993880e-03,1.9251969e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1146,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
3,1998.00,0.000,-2.472,9.7868966865753e+01,2.5385,50.2713,1.8801,16.0419,1.8223,0.0000,9.1301,0.2044,6.8765,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8037108743224e+03,-1.0666928880212e+03,3.2451312608204e+02,3.8553601128000e+01,1.4518727574725e+02,4.3108408e-01,3.3261563e-02,2.8109360e-02,5.5892240e-03,0.0000000e+00,7.5214481e-02,4.1648296e-03,6.5158222e-02,0.0000000e+00,0.0000000e+00,1.3380609e-01,1.3972429e-03,1.9250300e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1166,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
4,1997.00,0.000,-2.477,9.7868921366007e+01,2.5387,50.2713,1.8801,16.0419,1.8218,0.0000,9.1305,0.2044,6.8765,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8033854726601e+03,-1.0668375786298e+03,3.2444899853768e+02,3.8551092677394e+01,1.4518704234470e+02,4.3108111e-01,3.3267268e-02,2.8089233e-02,5.5859219e-03,0.0000000e+00,7.5225948e-02,4.1655270e-03,6.5151292e-02,0.0000000e+00,0.0000000e+00,1.3379165e-01,1.3950991e-03,1.9248629e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1185,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
5,1996.00,0.000,-2.481,9.7868875934556e+01,2.5388,50.2713,1.8801,16.0419,1.8214,0.0000,9.1309,0.2044,6.8765,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8030601366882e+03,-1.0669822695145e+03,3.2438484329979e+02,3.8548584316842e+01,1.4518680929250e+02,4.3107814e-01,3.3272978e-02,2.8069102e-02,5.5826220e-03,0.0000000e+00,7.5237415e-02,4.1662252e-03,6.5144355e-02,0.0000000e+00,0.0000000e+00,1.3377719e-01,1.3929568e-03,1.9246957e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1204,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
6,1995.00,0.000,-2.486,9.7868830571485e+01,2.5390,50.2714,1.8801,16.0419,1.8209,0.0000,9.1313,0.2044,6.8766,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8027348664356e+03,-1.0671269606773e+03,3.2432066034358e+02,3.8546076046391e+01,1.4518657659107e+02,4.3107517e-01,3.3278694e-02,2.8048968e-02,5.5793244e-03,0.0000000e+00,7.5248882e-02,4.1669242e-03,6.5137413e-02,0.0000000e+00,0.0000000e+00,1.3376273e-01,1.3908158e-03,1.9245284e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1224,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
7,1994.00,0.000,-2.491,9.7868785276876e+01,2.5392,50.2714,1.8801,16.0419,1.8204,0.0000,9.1318,0.2044,6.8766,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8024096619310e+03,-1.0672716521202e+03,3.2425644964421e+02,3.8543567866087e+01,1.4518634424084e+02,4.3107220e-01,3.3284415e-02,2.8028831e-02,5.5760291e-03,0.0000000e+00,7.5260350e-02,4.1676239e-03,6.5130464e-02,0.0000000e+00,0.0000000e+00,1.3374825e-01,1.3886762e-03,1.9243609e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1243,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
8,1993.00,0.000,-2.496,9.7868740050815e+01,2.5393,50.2714,1.8801,16.0419,1.8200,0.0000,9.1322,0.2044,6.8766,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8020845232035e+03,-1.0674163438451e+03,3.2419221117685e+02,3.8541059775976e+01,1.4518611224224e+02,4.3106923e-01,3.3290141e-02,2.8008690e-02,5.5727361e-03,0.0000000e+00,7.5271819e-02,4.1683243e-03,6.5123510e-02,0.0000000e+00,0.0000000e+00,1.3373376e-01,1.3865380e-03,1.9241933e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1263,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
9,1992.00,0.000,-2.500,9.7868694893385e+01,2.5395,50.2714,1.8801,16.0419,1.8195,0.0000,9.1326,0.2044,6.8766,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8017594502820e+03,-1.0675610358542e+03,3.2412794491659e+02,3.8538551776104e+01,1.4518588059570e+02,4.3106626e-01,3.3295873e-02,2.7988546e-02,5.5694455e-03,0.0000000e+00,7.5283288e-02,4.1690254e-03,6.5116549e-02,0.0000000e+00,0.0000000e+00,1.3371926e-01,1.3844011e-03,1.9240255e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1282,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
10,1991.00,0.000,-2.505,9.7868649804670e+01,2.5397,50.2715,1.8801,16.0419,1.8191,0.0000,9.1330,0.2044,6.8766,0.0000,0.0000,9.6762,2.9734,1.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8014344431953e+03,-1.0677057281492e+03,3.2406365083851e+02,3.8536043866518e+01,1.4518564930165e+02,4.3106330e-01,3.3301610e-02,2.7968398e-02,5.5661571e-03,0.0000000e+00,7.5294758e-02,4.1697274e-03,6.5109583e-02,0.0000000e+00,0.0000000e+00,1.3370475e-01,1.3822656e-03,1.9238576e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.1302,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
