Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
820,1181.00,0.000,-8.518,0.1666,3.3019,39.2789,0.0000,0.0000,0.0000,0.0000,17.5347,0.4461,42.2637,0.0000,0.0000,0.4765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.593,-2.010,0.401,0.050,0.205,0.004810,0.186667,0.000000,0.000000,0.012998,0.795525
821,1180.00,0.000,-8.530,0.4069,3.3037,39.2556,0.0000,0.0000,0.0000,0.0000,17.6533,0.4509,42.1626,0.0000,0.0000,0.4776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.325,-4.904,0.978,0.123,0.501,0.004864,0.188040,0.000000,0.000000,0.013035,0.794061
822,1179.00,0.000,-8.542,0.6435,3.3056,39.2324,0.0000,0.0000,0.0000,0.0000,17.7719,0.4556,42.0614,0.0000,0.0000,0.4787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.993,-7.747,1.546,0.195,0.792,0.004918,0.189415,0.000000,0.000000,0.013073,0.792594
823,1178.00,0.000,-8.553,0.8765,3.3074,39.2091,0.0000,0.0000,0.0000,0.0000,17.8906,0.4603,41.9601,0.0000,0.0000,0.4798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.596,-10.541,2.105,0.265,1.078,0.004972,0.190794,0.000000,0.000000,0.013111,0.791123
824,1177.00,0.000,-8.565,1.1060,3.3092,39.1859,0.0000,0.0000,0.0000,0.0000,18.0094,0.4650,41.8587,0.0000,0.0000,0.4809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.139,-13.288,2.655,0.334,1.359,0.005026,0.192175,0.000000,0.000000,0.013150,0.789649
825,1176.00,0.000,-8.576,1.3322,3.3110,39.1626,0.0000,0.0000,0.0000,0.0000,18.1283,0.4697,41.7573,0.0000,0.0000,0.4821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.620,-15.988,3.196,0.402,1.636,0.005080,0.193559,0.000000,0.000000,0.013189,0.788173
826,1175.00,0.000,-8.588,1.5550,3.3128,39.1393,0.0000,0.0000,0.0000,0.0000,18.2473,0.4744,41.6558,0.0000,0.0000,0.4833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.044,-18.644,3.729,0.469,1.909,0.005133,0.194945,0.000000,0.000000,0.013229,0.786693
827,1174.00,0.000,-8.600,1.7747,3.3146,39.1159,0.0000,0.0000,0.0000,0.0000,18.3663,0.4790,41.5542,0.0000,0.0000,0.4845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.410,-21.255,4.254,0.535,2.177,0.005186,0.196334,0.000000,0.000000,0.013270,0.785210
828,1173.00,0.000,-8.611,1.9912,3.3165,39.0926,0.0000,0.0000,0.0000,0.0000,18.4855,0.4836,41.4526,0.0000,0.0000,0.4857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.721,-23.823,4.770,0.600,2.441,0.005239,0.197725,0.000000,0.000000,0.013312,0.783724
829,1172.00,0.000,-8.623,2.2047,3.3183,39.0693,0.0000,0.0000,0.0000,0.0000,18.6047,0.4882,41.3509,0.0000,0.0000,0.4869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.977,-26.349,5.278,0.664,2.701,0.005292,0.199119,0.000000,0.000000,0.013354,0.782235
