Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
888,1113.00,0.000,-9.343,2.8007,4.5619,0.0000,20.0967,4.3628,28.5839,0.0000,40.4137,0.0000,6.5428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.443,-17.141,5.989,0.614,2.661,0.000000,-0.252574,0.378175,0.342978,0.531421
889,1112.00,0.000,-9.356,3.0952,4.5649,0.0000,20.0663,4.3256,28.6515,0.0000,40.4785,0.0000,6.4781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.068,-18.906,6.615,0.678,2.939,0.000000,-0.250125,0.379328,0.339818,0.530979
890,1111.00,0.000,-9.368,3.3624,4.5676,0.0000,20.0422,4.2893,28.7084,0.0000,40.5420,0.0000,6.4182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.441,-20.501,7.181,0.736,3.191,0.000000,-0.247893,0.380323,0.336891,0.530679
891,1110.00,0.000,-9.381,3.6059,4.5701,0.0000,20.0237,4.2539,28.7557,0.0000,40.6042,0.0000,6.3626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32.595,-21.949,7.697,0.789,3.420,0.000000,-0.245854,0.381178,0.334170,0.530506
892,1109.00,0.000,-9.394,3.8288,4.5725,0.0000,20.0101,4.2194,28.7944,0.0000,40.6654,0.0000,6.3107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.558,-23.269,8.168,0.837,3.629,0.000000,-0.243984,0.381905,0.331633,0.530445
893,1108.00,0.000,-9.407,4.0334,4.5748,0.0000,20.0010,4.1858,28.8254,0.0000,40.7256,0.0000,6.2623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.355,-24.478,8.599,0.882,3.821,0.000000,-0.242264,0.382519,0.329261,0.530484
894,1107.00,0.000,-9.420,4.2220,4.5769,0.0000,19.9958,4.1530,28.8495,0.0000,40.7848,0.0000,6.2169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.005,-25.589,8.996,0.922,3.997,0.000000,-0.240679,0.383030,0.327038,0.530611
895,1106.00,0.000,-9.433,4.3962,4.5789,0.0000,19.9941,4.1210,28.8672,0.0000,40.8433,0.0000,6.1743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.524,-26.612,9.363,0.960,4.160,0.000000,-0.239216,0.383447,0.324951,0.530819
896,1105.00,0.000,-9.445,4.5576,4.5807,0.0000,19.9957,4.0898,28.8792,0.0000,40.9010,0.0000,6.1342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.927,-27.557,9.701,0.995,4.311,0.000000,-0.237863,0.383778,0.322987,0.531099
897,1104.00,0.000,-9.458,4.7074,4.5825,0.0000,20.0003,4.0594,28.8859,0.0000,40.9580,0.0000,6.0965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.225,-28.433,10.015,1.027,4.451,0.000000,-0.236610,0.384029,0.321135,0.531445
