Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
805,1196.00,0.000,-8.347,0.3068,3.1956,52.9812,0.1244,3.1837,0.8583,0.0000,5.4453,0.0000,19.5596,0.0000,0.0000,17.7619,0.0856,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.045,-3.975,0.728,0.096,0.372,0.444526,0.304367,0.165022,0.056666,-0.049888,0.073294,0.006013
806,1195.00,0.000,-8.358,0.9559,3.1963,52.9592,0.1339,3.1911,0.8644,0.0000,5.4666,0.0000,19.5291,0.0000,0.0000,17.7686,0.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.713,-12.383,2.268,0.299,1.158,0.443770,0.303882,0.165695,0.056961,-0.049661,0.073237,0.006116
807,1194.00,0.000,-8.370,1.5396,3.1969,52.9372,0.1438,3.1989,0.8702,0.0000,5.4844,0.0000,19.4982,0.0000,0.0000,17.7789,0.0885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.300,-19.941,3.652,0.482,1.864,0.443240,0.303267,0.166262,0.057278,-0.049439,0.073176,0.006217
808,1193.00,0.000,-8.381,2.0663,3.1975,52.9150,0.1540,3.2071,0.8757,0.0000,5.4990,0.0000,19.4670,0.0000,0.0000,17.7924,0.0898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.944,-26.760,4.900,0.646,2.501,0.442912,0.302532,0.166732,0.057616,-0.049219,0.073111,0.006316
809,1192.00,0.000,-8.392,2.5431,3.1980,52.8926,0.1645,3.2157,0.8810,0.0000,5.5107,0.0000,19.4354,0.0000,0.0000,17.8087,0.0912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.764,-32.933,6.028,0.795,3.078,0.442765,0.301692,0.167115,0.057977,-0.049003,0.073043,0.006412
810,1191.00,0.000,-8.404,2.9762,3.1985,52.8701,0.1754,3.2247,0.8861,0.0000,5.5199,0.0000,19.4036,0.0000,0.0000,17.8277,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.862,-38.538,7.051,0.930,3.601,0.442780,0.300757,0.167418,0.058358,-0.048790,0.072972,0.006506
811,1190.00,0.000,-8.415,3.3707,3.1991,52.8474,0.1866,3.2341,0.8910,0.0000,5.5267,0.0000,19.3716,0.0000,0.0000,17.8489,0.0938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.324,-43.645,7.982,1.054,4.077,0.442938,0.299737,0.167649,0.058758,-0.048580,0.072900,0.006599
812,1189.00,0.000,-8.426,3.7312,3.1996,52.8245,0.1980,3.2438,0.8957,0.0000,5.5313,0.0000,19.3393,0.0000,0.0000,17.8721,0.0951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.224,-48.310,8.832,1.166,4.512,0.443223,0.298642,0.167815,0.059179,-0.048373,0.072826,0.006689
813,1188.00,0.000,-8.438,4.0615,3.2001,52.8013,0.2098,3.2539,0.9003,0.0000,5.5341,0.0000,19.3070,0.0000,0.0000,17.8972,0.0963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.626,-52.585,9.610,1.269,4.910,0.443620,0.297481,0.167922,0.059618,-0.048169,0.072751,0.006777
814,1187.00,0.000,-8.449,4.3649,3.2005,52.7780,0.2218,3.2644,0.9048,0.0000,5.5351,0.0000,19.2745,0.0000,0.0000,17.9238,0.0976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.586,-56.513,10.323,1.364,5.276,0.444116,0.296263,0.167976,0.060074,-0.047968,0.072675,0.006864
815,1186.00,0.000,-8.461,4.6443,3.2010,52.7544,0.2341,3.2752,0.9092,0.0000,5.5345,0.0000,19.2419,0.0000,0.0000,17.9519,0.0987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.151,-60.131,10.979,1.451,5.612,0.444698,0.294993,0.167982,0.060548,-0.047769,0.072599,0.006948
816,1185.00,0.000,-8.472,4.9024,3.2015,52.7306,0.2467,3.2864,0.9134,0.0000,5.5326,0.0000,19.2094,0.0000,0.0000,17.9811,0.0999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.364,-63.472,11.584,1.531,5.922,0.445357,0.293680,0.167944,0.061039,-0.047573,0.072522,0.007031
817,1184.00,0.000,-8.484,5.1412,3.2019,52.7065,0.2595,3.2979,0.9176,0.0000,5.5293,0.0000,19.1768,0.0000,0.0000,18.0114,0.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-84.261,-66.566,12.143,1.606,6.209,0.446081,0.292329,0.167868,0.061545,-0.047379,0.072444,0.007112
818,1183.00,0.000,-8.495,5.3628,3.2024,52.6823,0.2725,3.3097,0.9216,0.0000,5.5249,0.0000,19.1442,0.0000,0.0000,18.0426,0.1022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.873,-69.437,12.661,1.675,6.475,0.446862,0.290945,0.167756,0.062066,-0.047187,0.072367,0.007191
819,1182.00,0.000,-8.507,5.5688,3.2028,52.6578,0.2857,3.3218,0.9256,0.0000,5.5195,0.0000,19.1117,0.0000,0.0000,18.0747,0.1032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.230,-72.107,13.142,1.739,6.722,0.447692,0.289534,0.167613,0.062601,-0.046998,0.072290,0.007269
820,1181.00,0.000,-8.518,5.7608,3.2032,52.6332,0.2991,3.3341,0.9295,0.0000,5.5132,0.0000,19.0792,0.0000,0.0000,18.1073,0.1043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.356,-74.597,13.588,1.798,6.952,0.448565,0.288099,0.167441,0.063149,-0.046811,0.072212,0.007345
821,1180.00,0.000,-8.530,5.9400,3.2037,52.6084,0.3127,3.3468,0.9333,0.0000,5.5060,0.0000,19.0468,0.0000,0.0000,18.1406,0.1054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-97.273,-76.921,14.005,1.854,7.167,0.449474,0.286645,0.167243,0.063709,-0.046626,0.072135,0.007420
822,1179.00,0.000,-8.542,6.1077,3.2041,52.5834,0.3265,3.3596,0.9371,0.0000,5.4981,0.0000,19.0146,0.0000,0.0000,18.1743,0.1064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-99.999,-79.097,14.394,1.906,7.367,0.450413,0.285176,0.167023,0.064282,-0.046443,0.072057,0.007493
823,1178.00,0.000,-8.553,6.2648,3.2045,52.5583,0.3405,3.3727,0.9408,0.0000,5.4895,0.0000,18.9825,0.0000,0.0000,18.2084,0.1074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-102.553,-81.137,14.757,1.955,7.555,0.451378,0.283693,0.166781,0.064865,-0.046262,0.071980,0.007564
824,1177.00,0.000,-8.565,6.4123,3.2049,52.5330,0.3546,3.3860,0.9444,0.0000,5.4803,0.0000,18.9505,0.0000,0.0000,18.2428,0.1084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-104.948,-83.054,15.098,2.001,7.731,0.452364,0.282202,0.166522,0.065458,-0.046083,0.071904,0.007634
825,1176.00,0.000,-8.576,6.5510,3.2053,52.5077,0.3688,3.3995,0.9480,0.0000,5.4706,0.0000,18.9187,0.0000,0.0000,18.2774,0.1093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-107.199,-84.857,15.418,2.044,7.896,0.453368,0.280703,0.166245,0.066060,-0.045906,0.071827,0.007702
826,1175.00,0.000,-8.588,6.6817,3.2057,52.4822,0.3831,3.4132,0.9514,0.0000,5.4604,0.0000,18.8871,0.0000,0.0000,18.3123,0.1103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-109.318,-86.556,15.718,2.084,8.052,0.454386,0.279199,0.165954,0.066671,-0.045731,0.071751,0.007769
827,1174.00,0.000,-8.600,6.8049,3.2061,52.4567,0.3975,3.4270,0.9549,0.0000,5.4498,0.0000,18.8558,0.0000,0.0000,18.3472,0.1112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-111.315,-88.160,16.001,2.122,8.198,0.455415,0.277694,0.165650,0.067290,-0.045558,0.071675,0.007835
828,1173.00,0.000,-8.611,6.9213,3.2065,52.4311,0.4121,3.4409,0.9583,0.0000,5.4388,0.0000,18.8246,0.0000,0.0000,18.3822,0.1121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-113.200,-89.676,16.267,2.159,8.336,0.456452,0.276187,0.165334,0.067915,-0.045387,0.071599,0.007899
829,1172.00,0.000,-8.623,7.0314,3.2069,52.4055,0.4266,3.4550,0.9616,0.0000,5.4275,0.0000,18.7936,0.0000,0.0000,18.4172,0.1130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-114.981,-91.110,16.518,2.193,8.467,0.457496,0.274682,0.165008,0.068546,-0.045218,0.071523,0.007962
830,1171.00,0.000,-8.635,7.1356,3.2073,52.3799,0.4413,3.4691,0.9648,0.0000,5.4159,0.0000,18.7629,0.0000,0.0000,18.4523,0.1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-116.666,-92.469,16.755,2.225,8.590,0.458544,0.273180,0.164673,0.069182,-0.045051,0.071448,0.008024
831,1170.00,0.000,-8.647,7.2344,3.2077,52.3543,0.4560,3.4834,0.9680,0.0000,5.4040,0.0000,18.7325,0.0000,0.0000,18.4872,0.1147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-118.262,-93.758,16.980,2.255,8.707,0.459595,0.271683,0.164330,0.069822,-0.044886,0.071374,0.008084
