Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
799,1202.00,0.000,-8.279,0.4432,2.6786,47.0566,0.0000,34.0410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1041,1.7709,0.0274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.718,-6.125,1.080,0.165,0.546,0.157541,0.840853,0.001606
800,1201.00,0.000,-8.290,1.2634,2.6784,47.0933,0.0000,34.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0749,1.7870,0.0289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.001,-17.463,3.078,0.472,1.557,0.158962,0.839349,0.001689
801,1200.00,0.000,-8.302,2.0323,2.6781,47.1292,0.0000,33.9914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0463,1.8028,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.384,-28.091,4.951,0.759,2.504,0.160352,0.837875,0.001774
802,1199.00,0.000,-8.313,2.7545,2.6779,47.1645,0.0000,33.9673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0182,1.8182,0.0318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.953,-38.077,6.709,1.029,3.394,0.161713,0.836426,0.001861
803,1198.00,0.000,-8.324,3.4345,2.6777,47.1992,0.0000,33.9436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9905,1.8333,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.782,-47.479,8.363,1.283,4.231,0.163047,0.835002,0.001951
804,1197.00,0.000,-8.336,4.0758,2.6774,47.2334,0.0000,33.9202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9633,1.8482,0.0349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.935,-56.348,9.922,1.522,5.020,0.164358,0.833600,0.002043
805,1196.00,0.000,-8.347,4.8122,2.6771,47.2871,0.0000,33.8835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9205,1.8718,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-83.740,-66.532,11.713,1.798,5.927,0.166438,0.831395,0.002167
806,1195.00,0.000,-8.358,5.6409,2.6765,47.3647,0.0000,33.8306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8587,1.9060,0.0399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-98.148,-77.992,13.729,2.108,6.948,0.169449,0.828216,0.002335
807,1194.00,0.000,-8.370,6.3877,2.6759,47.4397,0.0000,33.7795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7990,1.9390,0.0429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-111.126,-88.319,15.545,2.387,7.867,0.172347,0.825145,0.002508
808,1193.00,0.000,-8.381,7.0629,2.6754,47.5120,0.0000,33.7301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7414,1.9706,0.0459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-122.856,-97.658,17.187,2.640,8.698,0.175132,0.822183,0.002686
809,1192.00,0.000,-8.392,7.6755,2.6749,47.5816,0.0000,33.6824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6858,2.0010,0.0491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-133.493,-106.131,18.675,2.869,9.452,0.177804,0.819326,0.002869
810,1191.00,0.000,-8.404,8.2329,2.6744,47.6488,0.0000,33.6365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6323,2.0301,0.0523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.168,-113.842,20.029,3.078,10.137,0.180368,0.816575,0.003058
811,1190.00,0.000,-8.415,8.7416,2.6739,47.7134,0.0000,33.5923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5807,2.0581,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.993,-120.881,21.264,3.269,10.763,0.182823,0.813926,0.003251
812,1189.00,0.000,-8.426,9.2071,2.6734,47.7755,0.0000,33.5496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5310,2.0848,0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-160.065,-127.323,22.393,3.444,11.335,0.185173,0.811378,0.003449
813,1188.00,0.000,-8.438,9.6342,2.6730,47.8352,0.0000,33.5086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4833,2.1104,0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-167.467,-133.234,23.428,3.604,11.860,0.187421,0.808928,0.003651
814,1187.00,0.000,-8.449,10.0270,2.6726,47.8926,0.0000,33.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4373,2.1348,0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-174.269,-138.671,24.379,3.752,12.343,0.189569,0.806573,0.003858
815,1186.00,0.000,-8.461,10.3890,2.6722,47.9477,0.0000,33.4312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3932,2.1582,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-180.534,-143.683,25.255,3.888,12.788,0.191620,0.804310,0.004070
816,1185.00,0.000,-8.472,10.7233,2.6718,48.0006,0.0000,33.3948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3507,2.1805,0.0734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-186.317,-148.313,26.064,4.013,13.198,0.193578,0.802137,0.004286
817,1184.00,0.000,-8.484,11.0327,2.6715,48.0514,0.0000,33.3597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3100,2.2018,0.0771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-191.666,-152.598,26.811,4.130,13.578,0.195445,0.800050,0.004506
818,1183.00,0.000,-8.495,11.3195,2.6711,48.1002,0.0000,33.3260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2708,2.2220,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-196.620,-156.573,27.503,4.238,13.930,0.197224,0.798046,0.004730
819,1182.00,0.000,-8.507,11.5859,2.6708,48.1469,0.0000,33.2937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.2332,2.2414,0.0849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-201.219,-160.265,28.144,4.338,14.257,0.198919,0.796123,0.004958
820,1181.00,0.000,-8.518,11.8337,2.6705,48.1918,0.0000,33.2625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1971,2.2597,0.0889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-205.493,-163.700,28.741,4.431,14.560,0.200533,0.794277,0.005190
821,1180.00,0.000,-8.530,12.0646,2.6702,48.2348,0.0000,33.2327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1624,2.2773,0.0930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-209.472,-166.902,29.295,4.518,14.843,0.202068,0.792505,0.005427
822,1179.00,0.000,-8.542,12.2800,2.6699,48.2760,0.0000,33.2039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1290,2.2939,0.0971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-213.182,-169.890,29.812,4.599,15.107,0.203529,0.790804,0.005667
823,1178.00,0.000,-8.553,12.4813,2.6697,48.3156,0.0000,33.1763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0970,2.3097,0.1013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-216.645,-172.684,30.294,4.675,15.353,0.204917,0.789172,0.005911
824,1177.00,0.000,-8.565,12.6696,2.6694,48.3536,0.0000,33.1498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0663,2.3248,0.1055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-219.881,-175.298,30.744,4.746,15.584,0.206236,0.787604,0.006159
825,1176.00,0.000,-8.576,12.8460,2.6692,48.3900,0.0000,33.1243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0368,2.3391,0.1099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-222.910,-177.747,31.165,4.813,15.799,0.207489,0.786099,0.006411
826,1175.00,0.000,-8.588,13.0114,2.6689,48.4249,0.0000,33.0998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0084,2.3527,0.1142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-225.747,-180.045,31.559,4.875,16.001,0.208678,0.784654,0.006667
