Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K)
1,2000.00,0.000,-2.462,1.0004984291072e+02,2.6570,46.8766,0.2699,6.4968,1.3968,0.4498,8.6480,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8742609571645e+03,-1.1041661253688e+03,3.3877871314947e+02,3.7655467095024e+01,1.6699387202341e+02,3.7273521e-01,4.8609384e-03,1.4720509e-02,1.4200529e-03,1.6022561e-02,4.0128028e-02,3.3808743e-03,3.6399374e-01,2.7347163e-03,0.0000000e+00,4.9618294e-02,3.3565962e-04,3.6138634e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7921,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
2,1999.00,0.000,-2.467,1.0004980609703e+02,2.6572,46.8767,0.2699,6.4968,1.3964,0.4498,8.6484,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8739214315006e+03,-1.1043327059861e+03,3.3870507031426e+02,3.7652490189579e+01,1.6699368317823e+02,3.7277425e-01,4.8614399e-03,1.4710139e-02,1.4184046e-03,1.6033173e-02,4.0120552e-02,3.3809063e-03,3.6396807e-01,2.7348912e-03,0.0000000e+00,4.9601936e-02,3.3519489e-04,3.6144731e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7908,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
3,1998.00,0.000,-2.472,1.0004976933887e+02,2.6574,46.8767,0.2699,6.4968,1.3961,0.4498,8.6487,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8735819808248e+03,-1.1044992868470e+03,3.3863139553875e+02,3.7649513357294e+01,1.6699349461786e+02,3.7281332e-01,4.8619419e-03,1.4699766e-02,1.4167575e-03,1.6043802e-02,4.0113066e-02,3.3809384e-03,3.6394238e-01,2.7350663e-03,0.0000000e+00,4.9585569e-02,3.3473039e-04,3.6150835e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7894,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
4,1997.00,0.000,-2.477,1.0004973263629e+02,2.6576,46.8767,0.2699,6.4968,1.3957,0.4498,8.6490,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8732426051698e+03,-1.1046658679530e+03,3.3855768879448e+02,3.7646536598206e+01,1.6699330634263e+02,3.7285244e-01,4.8624444e-03,1.4689392e-02,1.4151117e-03,1.6054447e-02,4.0105570e-02,3.3809705e-03,3.6391667e-01,2.7352417e-03,0.0000000e+00,4.9569193e-02,3.3426612e-04,3.6156945e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7881,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
5,1996.00,0.000,-2.481,1.0004969598936e+02,2.6578,46.8767,0.2699,6.4968,1.3953,0.4498,8.6494,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8729033045685e+03,-1.1048324493058e+03,3.3848395005298e+02,3.7643559912346e+01,1.6699311835287e+02,3.7289160e-01,4.8629472e-03,1.4679016e-02,1.4134673e-03,1.6065110e-02,4.0098064e-02,3.3810027e-03,3.6389093e-01,2.7354172e-03,0.0000000e+00,4.9552808e-02,3.3380207e-04,3.6163061e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7868,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
6,1995.00,0.000,-2.486,1.0004965939815e+02,2.6580,46.8767,0.2699,6.4968,1.3950,0.4498,8.6497,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8725640790539e+03,-1.1049990309070e+03,3.3841017928572e+02,3.7640583299749e+01,1.6699293064892e+02,3.7293081e-01,4.8634504e-03,1.4668638e-02,1.4118242e-03,1.6075789e-02,4.0090547e-02,3.3810349e-03,3.6386516e-01,2.7355929e-03,0.0000000e+00,4.9536415e-02,3.3333826e-04,3.6169184e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7854,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
7,1994.00,0.000,-2.491,1.0004962286271e+02,2.6582,46.8767,0.2699,6.4968,1.3946,0.4498,8.6500,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8722249286588e+03,-1.1051656127581e+03,3.3833637646414e+02,3.7637606760451e+01,1.6699274323111e+02,3.7297007e-01,4.8639541e-03,1.4658258e-02,1.4101824e-03,1.6086485e-02,4.0083020e-02,3.3810672e-03,3.6383938e-01,2.7357687e-03,0.0000000e+00,4.9520013e-02,3.3287467e-04,3.6175313e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7841,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
8,1993.00,0.000,-2.496,1.0004958638313e+02,2.6584,46.8768,0.2699,6.4968,1.3942,0.4498,8.6504,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8718858534162e+03,-1.1053321948608e+03,3.3826254155965e+02,3.7634630294484e+01,1.6699255609977e+02,3.7300936e-01,4.8644581e-03,1.4647877e-02,1.4085419e-03,1.6097198e-02,4.0075483e-02,3.3810995e-03,3.6381357e-01,2.7359448e-03,0.0000000e+00,4.9503602e-02,3.3241131e-04,3.6181448e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7828,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
9,1992.00,0.000,-2.500,1.0004954995945e+02,2.6587,46.8768,0.2699,6.4968,1.3939,0.4498,8.6507,0.1999,29.9851,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8715468533591e+03,-1.1054987772166e+03,3.3818867454361e+02,3.7631653901883e+01,1.6699236925524e+02,3.7304871e-01,4.8649626e-03,1.4637494e-02,1.4069028e-03,1.6107928e-02,4.0067936e-02,3.3811318e-03,3.6378773e-01,2.7361210e-03,0.0000000e+00,4.9487183e-02,3.3194818e-04,3.6187590e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7814,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
10,1991.00,0.000,-2.505,1.0004951359175e+02,2.6589,46.8768,0.2699,6.4968,1.3935,0.4498,8.6510,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8712079285205e+03,-1.1056653598272e+03,3.3811477538734e+02,3.7628677582683e+01,1.6699218269785e+02,3.7308810e-01,4.8654676e-03,1.4627108e-02,1.4052650e-03,1.6118675e-02,4.0060378e-02,3.3811642e-03,3.6376187e-01,2.7362974e-03,0.0000000e+00,4.9470755e-02,3.3148528e-04,3.6193738e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7801,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
11,1990.00,0.000,-2.510,1.0004947728009e+02,2.6591,46.8768,0.2699,6.4968,1.3932,0.4498,8.6514,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8708690789335e+03,-1.1058319426942e+03,3.3804084406214e+02,3.7625701336918e+01,1.6699199642795e+02,3.7312753e-01,4.8659729e-03,1.4616721e-02,1.4036285e-03,1.6129439e-02,4.0052810e-02,3.3811966e-03,3.6373599e-01,2.7364740e-03,0.0000000e+00,4.9454318e-02,3.3102261e-04,3.6199892e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7788,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
12,1989.00,0.000,-2.515,1.0004944102454e+02,2.6593,46.8768,0.2699,6.4968,1.3928,0.4498,8.6517,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8705303046311e+03,-1.1059985258193e+03,3.3796688053925e+02,3.7622725164624e+01,1.6699181044587e+02,3.7316701e-01,4.8664786e-03,1.4606333e-02,1.4019933e-03,1.6140220e-02,4.0045232e-02,3.3812291e-03,3.6371009e-01,2.7366508e-03,0.0000000e+00,4.9437872e-02,3.3056017e-04,3.6206053e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7774,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
13,1988.00,0.000,-2.520,1.0004940482517e+02,2.6595,46.8768,0.2699,6.4968,1.3924,0.4498,8.6520,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8701916056465e+03,-1.1061651092039e+03,3.3789288478989e+02,3.7619749065836e+01,1.6699162475195e+02,3.7320653e-01,4.8669848e-03,1.4595942e-02,1.4003594e-03,1.6151018e-02,4.0037643e-02,3.3812616e-03,3.6368416e-01,2.7368278e-03,0.0000000e+00,4.9421418e-02,3.3009796e-04,3.6212220e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7761,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
14,1987.00,0.000,-2.524,1.0004936868203e+02,2.6597,46.8769,0.2699,6.4968,1.3921,0.4498,8.6523,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8698529820129e+03,-1.1063316928497e+03,3.3781885678523e+02,3.7616773040588e+01,1.6699143934653e+02,3.7324610e-01,4.8674914e-03,1.4585550e-02,1.3987268e-03,1.6161834e-02,4.0030044e-02,3.3812942e-03,3.6365820e-01,2.7370050e-03,0.0000000e+00,4.9404955e-02,3.2963598e-04,3.6218393e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7747,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
15,1986.00,0.000,-2.529,1.0004933259520e+02,2.6599,46.8769,0.2699,6.4968,1.3917,0.4498,8.6527,0.1999,29.9852,0.1499,0.0000,4.9975,0.4298,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.8695144337633e+03,-1.1064982767585e+03,3.3774479649640e+02,3.7613797088915e+01,1.6699125422995e+02,3.7328571e-01,4.8679984e-03,1.4575155e-02,1.3970956e-03,1.6172666e-02,4.0022435e-02,3.3813268e-03,3.6363222e-01,2.7371823e-03,0.0000000e+00,4.9388483e-02,3.2917423e-04,3.6224573e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-0.7734,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00
