Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
395,1606.00,0.000,-4.717,0.1983,3.0743,41.7420,0.0000,0.0000,0.0000,0.0000,4.5890,0.1214,53.0839,0.3328,0.0000,0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.605,-2.569,0.551,0.064,0.266,0.001231,0.045969,0.000000,0.003206,0.003362,0.946231
396,1605.00,0.000,-4.724,0.5084,3.0747,41.7384,0.0000,0.0000,0.0000,0.0000,4.6072,0.1218,53.0680,0.3331,0.0000,0.1315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.242,-6.588,1.413,0.165,0.682,0.001236,0.046156,0.000000,0.003209,0.003374,0.946024
397,1604.00,0.000,-4.731,0.8165,3.0751,41.7347,0.0000,0.0000,0.0000,0.0000,4.6256,0.1223,53.0521,0.3333,0.0000,0.1319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.840,-10.581,2.269,0.266,1.095,0.001241,0.046344,0.000000,0.003212,0.003387,0.945816
398,1603.00,0.000,-4.738,1.1228,3.0755,41.7311,0.0000,0.0000,0.0000,0.0000,4.6439,0.1228,53.0362,0.3336,0.0000,0.1324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.400,-14.549,3.119,0.365,1.505,0.001246,0.046532,0.000000,0.003214,0.003400,0.945608
399,1602.00,0.000,-4.745,1.4271,3.0758,41.7275,0.0000,0.0000,0.0000,0.0000,4.6623,0.1233,53.0203,0.3338,0.0000,0.1329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.923,-18.491,3.963,0.464,1.913,0.001251,0.046720,0.000000,0.003217,0.003412,0.945400
400,1601.00,0.000,-4.752,1.7296,3.0762,41.7238,0.0000,0.0000,0.0000,0.0000,4.6807,0.1237,53.0043,0.3340,0.0000,0.1334,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.409,-22.409,4.802,0.562,2.318,0.001256,0.046909,0.000000,0.003219,0.003425,0.945191
401,1600.00,0.000,-4.759,2.0302,3.0766,41.7202,0.0000,0.0000,0.0000,0.0000,4.6992,0.1242,52.9884,0.3343,0.0000,0.1338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.858,-26.302,5.635,0.660,2.720,0.001261,0.047098,0.000000,0.003222,0.003437,0.944982
402,1599.00,0.000,-4.766,2.3290,3.0770,41.7165,0.0000,0.0000,0.0000,0.0000,4.7176,0.1247,52.9724,0.3345,0.0000,0.1343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.270,-30.171,6.463,0.757,3.120,0.001266,0.047287,0.000000,0.003224,0.003450,0.944773
403,1598.00,0.000,-4.773,2.6260,3.0774,41.7129,0.0000,0.0000,0.0000,0.0000,4.7362,0.1251,52.9564,0.3347,0.0000,0.1348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.647,-34.016,7.285,0.853,3.517,0.001270,0.047477,0.000000,0.003226,0.003463,0.944564
404,1597.00,0.000,-4.780,2.9211,3.0778,41.7092,0.0000,0.0000,0.0000,0.0000,4.7547,0.1256,52.9403,0.3349,0.0000,0.1353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-52.988,-37.837,8.101,0.949,3.912,0.001275,0.047667,0.000000,0.003229,0.003475,0.944354
