Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
724,1277.00,0.000,-7.478,0.1872,3.1696,56.3653,0.0253,1.6970,0.4818,0.0000,7.4860,0.0000,32.7510,0.0000,0.0000,1.1862,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.163,-2.433,0.471,0.059,0.243,-0.214831,0.955337,0.217536,0.028858,-0.027538,0.040136,0.000502
725,1276.00,0.000,-7.488,0.3458,3.1699,56.3568,0.0254,1.7022,0.4824,0.0000,7.4993,0.0000,32.7318,0.0000,0.0000,1.1946,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.841,-4.494,0.870,0.109,0.449,-0.215037,0.955017,0.217939,0.028962,-0.027634,0.040248,0.000505
726,1275.00,0.000,-7.498,0.5040,3.1703,56.3484,0.0255,1.7074,0.4829,0.0000,7.5125,0.0000,32.7126,0.0000,0.0000,1.2031,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.512,-6.549,1.267,0.159,0.654,-0.215239,0.954695,0.218342,0.029065,-0.027731,0.040360,0.000508
727,1274.00,0.000,-7.508,0.6618,3.1706,56.3400,0.0257,1.7126,0.4835,0.0000,7.5256,0.0000,32.6934,0.0000,0.0000,1.2116,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.173,-8.599,1.664,0.209,0.858,-0.215438,0.954369,0.218743,0.029168,-0.027827,0.040472,0.000511
728,1273.00,0.000,-7.518,0.8192,3.1709,56.3316,0.0258,1.7177,0.4841,0.0000,7.5387,0.0000,32.6742,0.0000,0.0000,1.2202,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.827,-10.644,2.059,0.258,1.062,-0.215633,0.954042,0.219144,0.029272,-0.027923,0.040584,0.000514
729,1272.00,0.000,-7.529,0.9762,3.1712,56.3232,0.0259,1.7229,0.4846,0.0000,7.5518,0.0000,32.6549,0.0000,0.0000,1.2289,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.473,-12.684,2.452,0.308,1.265,-0.215824,0.953711,0.219544,0.029375,-0.028019,0.040696,0.000517
730,1271.00,0.000,-7.539,1.1328,3.1716,56.3148,0.0261,1.7281,0.4851,0.0000,7.5649,0.0000,32.6356,0.0000,0.0000,1.2377,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.111,-14.718,2.845,0.357,1.468,-0.216011,0.953378,0.219943,0.029479,-0.028115,0.040807,0.000520
731,1270.00,0.000,-7.549,1.2890,3.1719,56.3064,0.0262,1.7332,0.4857,0.0000,7.5779,0.0000,32.6163,0.0000,0.0000,1.2465,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.741,-16.748,3.236,0.406,1.670,-0.216194,0.953041,0.220341,0.029582,-0.028211,0.040918,0.000523
732,1269.00,0.000,-7.559,1.4449,3.1722,56.2980,0.0264,1.7384,0.4862,0.0000,7.5909,0.0000,32.5970,0.0000,0.0000,1.2554,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.364,-18.772,3.626,0.455,1.872,-0.216374,0.952703,0.220738,0.029686,-0.028307,0.041029,0.000526
733,1268.00,0.000,-7.570,1.6004,3.1726,56.2897,0.0265,1.7435,0.4867,0.0000,7.6038,0.0000,32.5776,0.0000,0.0000,1.2644,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.979,-20.792,4.015,0.504,2.073,-0.216549,0.952361,0.221134,0.029789,-0.028404,0.041139,0.000529
