Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
465,1536.00,0.000,-5.220,0.0274,4.2109,0.0000,0.2370,12.5373,6.8303,55.9209,6.2106,0.0000,18.2638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.343,-0.228,0.064,0.007,0.029,0.685627,-0.615302,0.079705,0.844441,0.005528
466,1535.00,0.000,-5.228,0.0320,4.2112,0.0000,0.2376,12.5500,6.8449,55.8842,6.2319,0.0000,18.2514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.400,-0.266,0.074,0.008,0.034,0.685203,-0.614518,0.079879,0.843896,0.005541
467,1534.00,0.000,-5.235,0.0365,4.2116,0.0000,0.2381,12.5626,6.8596,55.8476,6.2532,0.0000,18.2390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.456,-0.304,0.085,0.009,0.039,0.684777,-0.613733,0.080052,0.843350,0.005553
468,1533.00,0.000,-5.243,0.0411,4.2119,0.0000,0.2386,12.5752,6.8743,55.8109,6.2746,0.0000,18.2265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.513,-0.341,0.095,0.010,0.044,0.684351,-0.612948,0.080227,0.842804,0.005566
469,1532.00,0.000,-5.250,0.0456,4.2122,0.0000,0.2392,12.5879,6.8890,55.7741,6.2959,0.0000,18.2140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.569,-0.379,0.105,0.011,0.049,0.683925,-0.612161,0.080401,0.842257,0.005579
470,1531.00,0.000,-5.258,0.0500,4.2126,0.0000,0.2397,12.6005,6.9037,55.7373,6.3173,0.0000,18.2015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.625,-0.416,0.116,0.012,0.054,0.683498,-0.611374,0.080576,0.841708,0.005592
471,1530.00,0.000,-5.265,0.0545,4.2129,0.0000,0.2402,12.6132,6.9185,55.7004,6.3387,0.0000,18.1890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.680,-0.453,0.126,0.013,0.059,0.683070,-0.610585,0.080751,0.841160,0.005605
472,1529.00,0.000,-5.273,0.0590,4.2133,0.0000,0.2408,12.6258,6.9333,55.6635,6.3602,0.0000,18.1764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.736,-0.490,0.136,0.014,0.063,0.682642,-0.609796,0.080927,0.840610,0.005618
473,1528.00,0.000,-5.280,0.0634,4.2136,0.0000,0.2413,12.6385,6.9481,55.6265,6.3817,0.0000,18.1639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.791,-0.527,0.147,0.015,0.068,0.682213,-0.609006,0.081103,0.840060,0.005631
474,1527.00,0.000,-5.288,0.0678,4.2139,0.0000,0.2419,12.6511,6.9630,55.5895,6.4032,0.0000,18.1513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.846,-0.564,0.157,0.016,0.073,0.681784,-0.608215,0.081279,0.839508,0.005644
