Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
990,1011.00,0.000,-10.744,0.2279,3.3053,51.2630,0.4432,2.1687,2.0189,0.0000,10.8070,0.0000,13.5908,0.0000,0.0000,19.2871,0.4212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.464,-2.826,0.496,0.069,0.262,0.363137,0.192827,0.339603,0.016660,0.008388,0.048699,0.030687
991,1010.00,0.000,-10.758,0.4918,3.3058,51.2680,0.4420,2.1506,2.0167,0.0000,10.8385,0.0000,13.5647,0.0000,0.0000,19.2968,0.4228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.472,-6.098,1.071,0.149,0.565,0.363127,0.192180,0.340652,0.016197,0.008785,0.048248,0.030810
992,1009.00,0.000,-10.773,0.7434,3.3062,51.2723,0.4409,2.1329,2.0148,0.0000,10.8697,0.0000,13.5375,0.0000,0.0000,19.3075,0.4245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.290,-9.215,1.618,0.225,0.854,0.363153,0.191488,0.341690,0.015745,0.009179,0.047810,0.030935
993,1008.00,0.000,-10.788,0.9834,3.3067,51.2759,0.4399,2.1158,2.0132,0.0000,10.9004,0.0000,13.5095,0.0000,0.0000,19.3192,0.4261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.928,-12.188,2.139,0.297,1.129,0.363214,0.190752,0.342716,0.015302,0.009569,0.047385,0.031062
994,1007.00,0.000,-10.803,1.2126,3.3072,51.2789,0.4390,2.0992,2.0119,0.0000,10.9307,0.0000,13.4806,0.0000,0.0000,19.3319,0.4278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.399,-15.025,2.636,0.367,1.392,0.363308,0.189974,0.343730,0.014869,0.009957,0.046973,0.031190
995,1006.00,0.000,-10.818,1.4316,3.3077,51.2812,0.4382,2.0832,2.0110,0.0000,10.9606,0.0000,13.4508,0.0000,0.0000,19.3454,0.4295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.714,-17.735,3.110,0.433,1.643,0.363432,0.189156,0.344734,0.014444,0.010341,0.046572,0.031320
996,1005.00,0.000,-10.833,1.6412,3.3082,51.2830,0.4375,2.0676,2.0104,0.0000,10.9902,0.0000,13.4203,0.0000,0.0000,19.3598,0.4312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.883,-20.327,3.564,0.496,1.883,0.363586,0.188302,0.345728,0.014029,0.010723,0.046183,0.031451
997,1004.00,0.000,-10.848,1.8419,3.3086,51.2842,0.4369,2.0524,2.0100,0.0000,11.0194,0.0000,13.3890,0.0000,0.0000,19.3750,0.4330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.914,-22.809,3.998,0.557,2.113,0.363766,0.187412,0.346712,0.013622,0.011102,0.045804,0.031583
998,1003.00,0.000,-10.863,2.0343,3.3091,51.2849,0.4365,2.0378,2.0099,0.0000,11.0483,0.0000,13.3571,0.0000,0.0000,19.3909,0.4347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.817,-25.186,4.413,0.615,2.333,0.363970,0.186491,0.347687,0.013223,0.011479,0.045436,0.031716
999,1002.00,0.000,-10.878,2.2189,3.3096,51.2851,0.4361,2.0235,2.0101,0.0000,11.0769,0.0000,13.3245,0.0000,0.0000,19.4074,0.4365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.600,-27.466,4.811,0.670,2.543,0.364195,0.185539,0.348654,0.012832,0.011853,0.045077,0.031850
1000,1001.00,0.000,-10.893,2.3962,3.3101,51.2847,0.4358,2.0097,2.0105,0.0000,11.1052,0.0000,13.2912,0.0000,0.0000,19.4246,0.4382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.271,-29.655,5.192,0.724,2.746,0.364439,0.184560,0.349613,0.012448,0.012226,0.044728,0.031986
1001,1000.00,0.000,-10.908,2.5667,3.3106,51.2839,0.4356,1.9962,2.0112,0.0000,11.1334,0.0000,13.2574,0.0000,0.0000,19.4423,0.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.835,-31.758,5.558,0.775,2.940,0.364699,0.183555,0.350567,0.012072,0.012596,0.044387,0.032123
1002,999.00,0.000,-10.923,2.7308,3.3112,51.2826,0.4355,1.9831,2.0121,0.0000,11.1613,0.0000,13.2231,0.0000,0.0000,19.4605,0.4418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.300,-33.781,5.910,0.825,3.127,0.364973,0.182528,0.351515,0.011703,0.012965,0.044055,0.032260
1003,998.00,0.000,-10.938,2.8888,3.3117,51.2809,0.4355,1.9704,2.0132,0.0000,11.1890,0.0000,13.1883,0.0000,0.0000,19.4792,0.4436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.672,-35.728,6.249,0.872,3.307,0.365258,0.181481,0.352459,0.011341,0.013331,0.043731,0.032399
