Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
893,1108.00,0.000,-9.407,0.1664,2.5768,60.4568,0.0000,24.7996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3532,7.4051,0.9853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.854,-2.292,0.407,0.065,0.204,0.640352,0.303590,0.056058
894,1107.00,0.000,-9.420,0.7048,2.5763,60.5190,0.0000,24.7544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3014,7.4252,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.087,-9.709,1.723,0.274,0.866,0.642026,0.301086,0.056888
895,1106.00,0.000,-9.433,1.2446,2.5758,60.5808,0.0000,24.7095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2499,7.4450,1.0149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.340,-17.145,3.042,0.483,1.529,0.643672,0.298595,0.057733
896,1105.00,0.000,-9.445,1.7858,2.5754,60.6422,0.0000,24.6647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1986,7.4644,1.0302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.613,-24.600,4.363,0.693,2.194,0.645290,0.296117,0.058592
897,1104.00,0.000,-9.458,2.3283,2.5749,60.7032,0.0000,24.6201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1476,7.4835,1.0456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.906,-32.074,5.687,0.904,2.860,0.646881,0.293652,0.059467
898,1103.00,0.000,-9.471,2.8722,2.5745,60.7639,0.0000,24.5757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0968,7.5023,1.0614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.219,-39.567,7.014,1.116,3.527,0.648444,0.291199,0.060357
899,1102.00,0.000,-9.484,3.4175,2.5740,60.8241,0.0000,24.5315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0463,7.5207,1.0774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-58.553,-47.079,8.344,1.328,4.197,0.649978,0.288760,0.061262
900,1101.00,0.000,-9.497,3.9642,2.5735,60.8840,0.0000,24.4875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9960,7.5388,1.0937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.906,-54.610,9.676,1.540,4.868,0.651483,0.286333,0.062183
901,1100.00,0.000,-9.510,4.5123,2.5731,60.9435,0.0000,24.4437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9460,7.5566,1.1103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.280,-62.160,11.011,1.754,5.540,0.652959,0.283920,0.063121
902,1099.00,0.000,-9.523,5.0618,2.5726,61.0026,0.0000,24.4001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8962,7.5739,1.1272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-86.674,-69.730,12.349,1.968,6.214,0.654405,0.281520,0.064075
903,1098.00,0.000,-9.536,5.6127,2.5722,61.0613,0.0000,24.3567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8467,7.5910,1.1443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-96.089,-77.318,13.689,2.182,6.890,0.655821,0.279133,0.065046
904,1097.00,0.000,-9.549,6.1651,2.5717,61.1196,0.0000,24.3135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7975,7.6076,1.1618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-105.524,-84.927,15.033,2.397,7.567,0.657207,0.276759,0.066034
905,1096.00,0.000,-9.562,6.7188,2.5713,61.1775,0.0000,24.2705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7485,7.6239,1.1796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-114.980,-92.555,16.379,2.613,8.246,0.658562,0.274398,0.067040
906,1095.00,0.000,-9.575,7.2740,2.5708,61.2350,0.0000,24.2277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6997,7.6399,1.1977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-124.456,-100.202,17.728,2.829,8.926,0.659885,0.272050,0.068064
907,1094.00,0.000,-9.588,7.8307,2.5704,61.2921,0.0000,24.1851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6513,7.6554,1.2162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-133.954,-107.869,19.080,3.046,9.608,0.661177,0.269716,0.069107
908,1093.00,0.000,-9.601,8.3888,2.5700,61.3488,0.0000,24.1427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6031,7.6706,1.2349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.472,-115.556,20.434,3.264,10.292,0.662437,0.267395,0.070168
909,1092.00,0.000,-9.614,8.9483,2.5695,61.4051,0.0000,24.1005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5551,7.6853,1.2540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-153.012,-123.263,21.792,3.482,10.978,0.663664,0.265088,0.071248
910,1091.00,0.000,-9.627,9.5094,2.5691,61.4609,0.0000,24.0585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5074,7.6997,1.2735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-162.572,-130.990,23.152,3.701,11.665,0.664859,0.262793,0.072348
911,1090.00,0.000,-9.641,10.0719,2.5686,61.5164,0.0000,24.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4600,7.7137,1.2933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.154,-138.737,24.515,3.921,12.353,0.666020,0.260512,0.073468
912,1089.00,0.000,-9.654,10.6359,2.5682,61.5714,0.0000,23.9751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4128,7.7273,1.3134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-181.757,-146.504,25.881,4.141,13.044,0.667147,0.258245,0.074608
913,1088.00,0.000,-9.667,11.2014,2.5678,61.6260,0.0000,23.9337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3659,7.7404,1.3340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-191.382,-154.292,27.249,4.362,13.736,0.668241,0.255990,0.075769
914,1087.00,0.000,-9.680,11.7685,2.5673,61.6802,0.0000,23.8924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3193,7.7532,1.3549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-201.029,-162.100,28.621,4.584,14.429,0.669300,0.253748,0.076952
