Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,2000.00,0.000,-2.462,1.1404363687765e+02,2.3047,63.8352,0.5437,16.6603,0.8154,0.0000,3.2477,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1807137731738e+03,-1.3201600992958e+03,3.7857320189076e+02,4.9484122494275e+01,1.6183553203760e+02,5.4738669e-01,1.5679106e-02,1.8332513e-02,4.7903668e-03,0.0000000e+00,4.4768768e-02,4.7740681e-03,1.3828687e-02,0.0000000e+00,0.0000000e+00,4.6696378e-02,2.4887095e-03,4.5767285e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2636,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1807137731738e+03,-1.3201600992958e+03, 3.7857320189076e+02, 4.9484122494275e+01, 1.6183553203760e+02, 2.5599075044374e-03,-3.3087891510134e-04, 5.1731896523650e-05, 6.6865672951889e-06, 2.5599075044374e-03,-3.3087891510134e-04, 5.1731896523650e-05, 6.6865672951889e-06
2,1999.00,0.000,-2.467,1.1404361399164e+02,2.3048,63.8352,0.5437,16.6603,0.8152,0.0000,3.2478,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1803347886658e+03,-1.3203216842971e+03,3.7850190540620e+02,4.9481538588447e+01,1.6183541463797e+02,5.4734379e-01,1.5686143e-02,1.8319128e-02,4.7893731e-03,0.0000000e+00,4.4788584e-02,4.7761559e-03,1.3830825e-02,0.0000000e+00,0.0000000e+00,4.6701828e-02,2.4847639e-03,4.5755522e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2663,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1803347886658e+03,-1.3203216842971e+03, 3.7850190540620e+02, 4.9481538588447e+01, 1.6183541463797e+02, 2.5599028564715e-03,-3.3089804973987e-04, 5.1734504008920e-05, 6.6873031675923e-06, 2.5599028564715e-03,-3.3089804973987e-04, 5.1734504008920e-05, 6.6873031675923e-06
3,1998.00,0.000,-2.472,1.1404359113935e+02,2.3049,63.8352,0.5437,16.6603,0.8150,0.0000,3.2480,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1799558762062e+03,-1.3204832694325e+03,3.7843057780143e+02,4.9478954727274e+01,1.6183529741135e+02,5.4730086e-01,1.5693188e-02,1.8305741e-02,4.7883814e-03,0.0000000e+00,4.4808419e-02,4.7782464e-03,1.3832965e-02,0.0000000e+00,0.0000000e+00,4.6707284e-02,2.4808211e-03,4.5743752e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2690,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1799558762062e+03,-1.3204832694325e+03, 3.7843057780143e+02, 4.9478954727274e+01, 1.6183529741135e+02, 2.5598982153552e-03,-3.3091718196040e-04, 5.1737111858269e-05, 6.6880390619487e-06, 2.5598982153552e-03,-3.3091718196040e-04, 5.1737111858269e-05, 6.6880390619487e-06
4,1997.00,0.000,-2.477,1.1404356832083e+02,2.3050,63.8353,0.5437,16.6603,0.8148,0.0000,3.2482,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1795770358266e+03,-1.3206448547028e+03,3.7835921904886e+02,4.9476370910782e+01,1.6183518035795e+02,5.4725790e-01,1.5700243e-02,1.8292353e-02,4.7873915e-03,0.0000000e+00,4.4828274e-02,4.7803398e-03,1.3835107e-02,0.0000000e+00,0.0000000e+00,4.6712745e-02,2.4768811e-03,4.5731975e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2717,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1795770358266e+03,-1.3206448547028e+03, 3.7835921904886e+02, 4.9476370910782e+01, 1.6183518035795e+02, 2.5598935810974e-03,-3.3093631176655e-04, 5.1739720071901e-05, 6.6887749783287e-06, 2.5598935810974e-03,-3.3093631176655e-04, 5.1739720071901e-05, 6.6887749783287e-06
5,1996.00,0.000,-2.481,1.1404354553613e+02,2.3051,63.8353,0.5437,16.6603,0.8146,0.0000,3.2484,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1791982675588e+03,-1.3208064401092e+03,3.7828782912085e+02,4.9473787138994e+01,1.6183506347802e+02,5.4721491e-01,1.5707306e-02,1.8278962e-02,4.7864036e-03,0.0000000e+00,4.4848149e-02,4.7824358e-03,1.3837251e-02,0.0000000e+00,0.0000000e+00,4.6718212e-02,2.4729438e-03,4.5720190e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2744,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1791982675588e+03,-1.3208064401092e+03, 3.7828782912085e+02, 4.9473787138994e+01, 1.6183506347802e+02, 2.5598889537069e-03,-3.3095543916189e-04, 5.1742328650019e-05, 6.6895109168029e-06, 2.5598889537069e-03,-3.3095543916189e-04, 5.1742328650019e-05, 6.6895109168029e-06
6,1995.00,0.000,-2.486,1.1404352278529e+02,2.3053,63.8353,0.5437,16.6603,0.8144,0.0000,3.2486,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1788195714346e+03,-1.3209680256527e+03,3.7821640798974e+02,4.9471203411937e+01,1.6183494677177e+02,5.4717188e-01,1.5714380e-02,1.8265569e-02,4.7854175e-03,0.0000000e+00,4.4868043e-02,4.7845347e-03,1.3839398e-02,0.0000000e+00,0.0000000e+00,4.6723684e-02,2.4690093e-03,4.5708398e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2771,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1788195714346e+03,-1.3209680256527e+03, 3.7821640798974e+02, 4.9471203411937e+01, 1.6183494677177e+02, 2.5598843331927e-03,-3.3097456415003e-04, 5.1744937592826e-05, 6.6902468774423e-06, 2.5598843331927e-03,-3.3097456415003e-04, 5.1744937592826e-05, 6.6902468774423e-06
7,1994.00,0.000,-2.491,1.1404350006834e+02,2.3054,63.8353,0.5437,16.6603,0.8142,0.0000,3.2487,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1784409474858e+03,-1.3211296113342e+03,3.7814495562783e+02,4.9468619729637e+01,1.6183483023943e+02,5.4712881e-01,1.5721462e-02,1.8252174e-02,4.7844333e-03,0.0000000e+00,4.4887957e-02,4.7866363e-03,1.3841546e-02,0.0000000e+00,0.0000000e+00,4.6729161e-02,2.4650776e-03,4.5696599e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2798,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1784409474858e+03,-1.3211296113342e+03, 3.7814495562783e+02, 4.9468619729637e+01, 1.6183483023943e+02, 2.5598797195637e-03,-3.3099368673458e-04, 5.1747546900526e-05, 6.6909828603178e-06, 2.5598797195637e-03,-3.3099368673458e-04, 5.1747546900526e-05, 6.6909828603178e-06
8,1993.00,0.000,-2.496,1.1404347738535e+02,2.3055,63.8353,0.5437,16.6603,0.8140,0.0000,3.2489,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1780623957443e+03,-1.3212911971547e+03,3.7807347200739e+02,4.9466036092118e+01,1.6183471388122e+02,5.4708572e-01,1.5728554e-02,1.8238777e-02,4.7834510e-03,0.0000000e+00,4.4907891e-02,4.7887407e-03,1.3843697e-02,0.0000000e+00,0.0000000e+00,4.6734644e-02,2.4611487e-03,4.5684792e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2825,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1780623957443e+03,-1.3212911971547e+03, 3.7807347200739e+02, 4.9466036092118e+01, 1.6183471388122e+02, 2.5598751128289e-03,-3.3101280691915e-04, 5.1750156573325e-05, 6.6917188655004e-06, 2.5598751128289e-03,-3.3101280691915e-04, 5.1750156573325e-05, 6.6917188655004e-06
9,1992.00,0.000,-2.500,1.1404345473634e+02,2.3056,63.8353,0.5437,16.6603,0.8138,0.0000,3.2491,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1776839162418e+03,-1.3214527831153e+03,3.7800195710064e+02,4.9463452499407e+01,1.6183459769737e+02,5.4704259e-01,1.5735655e-02,1.8225378e-02,4.7824706e-03,0.0000000e+00,4.4927844e-02,4.7908479e-03,1.3845850e-02,0.0000000e+00,0.0000000e+00,4.6740133e-02,2.4572226e-03,4.5672978e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2852,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1776839162418e+03,-1.3214527831153e+03, 3.7800195710064e+02, 4.9463452499407e+01, 1.6183459769737e+02, 2.5598705129971e-03,-3.3103192470736e-04, 5.1752766611426e-05, 6.6924548930614e-06, 2.5598705129971e-03,-3.3103192470736e-04, 5.1752766611426e-05, 6.6924548930614e-06
10,1991.00,0.000,-2.505,1.1404343212137e+02,2.3057,63.8353,0.5437,16.6603,0.8136,0.0000,3.2493,0.1491,0.9382,0.0000,0.0000,2.3851,6.8307,4.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.1773055090104e+03,-1.3216143692170e+03,3.7793041087976e+02,4.9460868951528e+01,1.6183448168812e+02,5.4699942e-01,1.5742766e-02,1.8211977e-02,4.7814921e-03,0.0000000e+00,4.4947817e-02,4.7929579e-03,1.3848005e-02,0.0000000e+00,0.0000000e+00,4.6745627e-02,2.4532992e-03,4.5661157e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,1.2879,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-2.1773055090104e+03,-1.3216143692170e+03, 3.7793041087976e+02, 4.9460868951528e+01, 1.6183448168812e+02, 2.5598659200776e-03,-3.3105104010284e-04, 5.1755377015034e-05, 6.6931909430720e-06, 2.5598659200776e-03,-3.3105104010284e-04, 5.1755377015034e-05, 6.6931909430720e-06
