Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
946,1055.00,0.000,-10.113,0.3493,3.5868,35.9235,0.0000,0.0000,0.0000,0.0000,34.2014,1.8536,27.7865,0.0000,0.0000,0.2350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.604,-3.571,0.778,0.097,0.394,0.021852,0.398098,0.000000,0.000000,0.007008,0.573041
947,1054.00,0.000,-10.127,0.4440,3.5924,35.8595,0.0000,0.0000,0.0000,0.0000,34.5239,1.8719,27.5078,0.0000,0.0000,0.2370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.832,-4.522,0.987,0.124,0.500,0.022107,0.402571,0.000000,0.000000,0.007080,0.568242
948,1053.00,0.000,-10.141,0.5390,3.5979,35.7953,0.0000,0.0000,0.0000,0.0000,34.8473,1.8899,27.2285,0.0000,0.0000,0.2391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.058,-5.470,1.197,0.150,0.606,0.022359,0.407070,0.000000,0.000000,0.007156,0.563415
949,1052.00,0.000,-10.155,0.6344,3.6035,35.7310,0.0000,0.0000,0.0000,0.0000,35.1711,1.9076,26.9490,0.0000,0.0000,0.2413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.281,-6.415,1.408,0.176,0.712,0.022610,0.411592,0.000000,0.000000,0.007235,0.558563
950,1051.00,0.000,-10.169,0.7302,3.6091,35.6667,0.0000,0.0000,0.0000,0.0000,35.4951,1.9251,26.6694,0.0000,0.0000,0.2436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.500,-7.357,1.618,0.202,0.819,0.022859,0.416132,0.000000,0.000000,0.007318,0.553691
951,1050.00,0.000,-10.183,0.8079,3.6098,35.6584,0.0000,0.0000,0.0000,0.0000,35.4997,1.9644,26.6318,0.0000,0.0000,0.2457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.505,-8.137,1.790,0.224,0.905,0.023330,0.416283,0.000000,0.000000,0.007383,0.553004
952,1049.00,0.000,-10.197,0.8901,3.6122,35.6312,0.0000,0.0000,0.0000,0.0000,35.6117,1.9962,26.5127,0.0000,0.0000,0.2481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.557,-8.952,1.971,0.246,0.997,0.023727,0.417915,0.000000,0.000000,0.007461,0.550898
953,1048.00,0.000,-10.211,0.9707,3.6145,35.6046,0.0000,0.0000,0.0000,0.0000,35.7207,2.0282,26.3958,0.0000,0.0000,0.2507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.586,-9.749,2.148,0.269,1.086,0.024124,0.419508,0.000000,0.000000,0.007544,0.548824
954,1047.00,0.000,-10.225,1.0497,3.6168,35.5785,0.0000,0.0000,0.0000,0.0000,35.8268,2.0601,26.2812,0.0000,0.0000,0.2534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.592,-10.528,2.321,0.290,1.174,0.024522,0.421062,0.000000,0.000000,0.007632,0.546784
955,1046.00,0.000,-10.239,1.1270,3.6190,35.5529,0.0000,0.0000,0.0000,0.0000,35.9298,2.0920,26.1689,0.0000,0.0000,0.2564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.573,-11.288,2.490,0.311,1.259,0.024920,0.422576,0.000000,0.000000,0.007726,0.544778
956,1045.00,0.000,-10.253,1.2025,3.6212,35.5280,0.0000,0.0000,0.0000,0.0000,36.0297,2.1239,26.0590,0.0000,0.0000,0.2594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.529,-12.029,2.656,0.332,1.343,0.025317,0.424049,0.000000,0.000000,0.007824,0.542810
957,1044.00,0.000,-10.267,1.2762,3.6234,35.5036,0.0000,0.0000,0.0000,0.0000,36.1265,2.1555,25.9517,0.0000,0.0000,0.2627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.459,-12.749,2.817,0.352,1.424,0.025712,0.425481,0.000000,0.000000,0.007927,0.540880
958,1043.00,0.000,-10.281,1.3480,3.6254,35.4798,0.0000,0.0000,0.0000,0.0000,36.2203,2.1869,25.8469,0.0000,0.0000,0.2661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.362,-13.449,2.973,0.372,1.503,0.026104,0.426871,0.000000,0.000000,0.008035,0.538990
959,1042.00,0.000,-10.295,1.4177,3.6275,35.4566,0.0000,0.0000,0.0000,0.0000,36.3110,2.2181,25.7447,0.0000,0.0000,0.2696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.239,-14.129,3.125,0.391,1.580,0.026493,0.428220,0.000000,0.000000,0.008147,0.537140
960,1041.00,0.000,-10.309,1.4855,3.6294,35.4341,0.0000,0.0000,0.0000,0.0000,36.3988,2.2488,25.6451,0.0000,0.0000,0.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.087,-14.787,3.273,0.409,1.654,0.026877,0.429528,0.000000,0.000000,0.008263,0.535331
961,1040.00,0.000,-10.323,1.5513,3.6313,35.4121,0.0000,0.0000,0.0000,0.0000,36.4836,2.2791,25.5481,0.0000,0.0000,0.2771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.908,-15.423,3.415,0.427,1.727,0.027257,0.430796,0.000000,0.000000,0.008383,0.533565
962,1039.00,0.000,-10.337,1.6150,3.6332,35.3908,0.0000,0.0000,0.0000,0.0000,36.5655,2.3090,25.4538,0.0000,0.0000,0.2810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.702,-16.039,3.554,0.444,1.796,0.027630,0.432024,0.000000,0.000000,0.008506,0.531840
