Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),   geikielite,     hematite,     ilmenite,  pyrophanite,     corundum
1090,911.00,0.000,-12.351,0.0147,4.6527,0.0000,47.8228,0.9841,10.6581,0.0000,33.1120,4.3403,3.0827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.145,-0.112,0.028,0.003,0.014,0.113323,0.098886,0.682839,0.090653,0.014300
1091,910.00,0.000,-12.368,0.0257,4.6533,0.0000,47.8245,0.9771,10.6470,0.0000,33.1600,4.3275,3.0639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.254,-0.196,0.049,0.006,0.024,0.112650,0.098800,0.683946,0.090401,0.014202
1092,909.00,0.000,-12.386,0.0367,4.6539,0.0000,47.8262,0.9703,10.6358,0.0000,33.2079,4.3145,3.0453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.363,-0.280,0.070,0.008,0.034,0.111985,0.098713,0.685053,0.090145,0.014104
1093,908.00,0.000,-12.403,0.0477,4.6546,0.0000,47.8282,0.9635,10.6243,0.0000,33.2559,4.3012,3.0269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.471,-0.363,0.091,0.010,0.044,0.111327,0.098623,0.686158,0.089883,0.014008
1094,907.00,0.000,-12.421,0.0586,4.6552,0.0000,47.8302,0.9568,10.6127,0.0000,33.3039,4.2877,3.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.579,-0.447,0.112,0.013,0.054,0.110677,0.098532,0.687263,0.089616,0.013913
1095,906.00,0.000,-12.438,0.0695,4.6558,0.0000,47.8324,0.9501,10.6010,0.0000,33.3518,4.2740,2.9907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.686,-0.530,0.133,0.015,0.064,0.110033,0.098439,0.688366,0.089344,0.013818
1096,905.00,0.000,-12.456,0.0804,4.6563,0.0000,47.8348,0.9435,10.5890,0.0000,33.3997,4.2601,2.9729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.793,-0.612,0.154,0.017,0.074,0.109397,0.098344,0.689467,0.089067,0.013724
1097,904.00,0.000,-12.474,0.0912,4.6569,0.0000,47.8372,0.9370,10.5769,0.0000,33.4476,4.2459,2.9553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.900,-0.695,0.174,0.020,0.084,0.108767,0.098248,0.690568,0.088786,0.013632
1098,903.00,0.000,-12.491,0.1020,4.6575,0.0000,47.8398,0.9305,10.5647,0.0000,33.4955,4.2316,2.9379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.006,-0.777,0.195,0.022,0.094,0.108144,0.098150,0.691667,0.088500,0.013540
1099,902.00,0.000,-12.509,0.1128,4.6581,0.0000,47.8425,0.9241,10.5523,0.0000,33.5433,4.2170,2.9207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.111,-0.859,0.215,0.024,0.104,0.107528,0.098050,0.692764,0.088209,0.013448
1100,901.00,0.000,-12.527,0.1235,4.6586,0.0000,47.8454,0.9178,10.5397,0.0000,33.5912,4.2023,2.9037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.217,-0.940,0.236,0.027,0.114,0.106919,0.097948,0.693860,0.087914,0.013358
1101,900.00,0.000,-12.545,0.1343,4.6591,0.0000,47.8483,0.9115,10.5270,0.0000,33.6390,4.1873,2.8869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.322,-1.022,0.256,0.029,0.124,0.106315,0.097846,0.694955,0.087615,0.013269
1102,899.00,0.000,-12.562,0.1450,4.6597,0.0000,47.8514,0.9052,10.5142,0.0000,33.6867,4.1722,2.8702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.426,-1.103,0.276,0.031,0.134,0.105719,0.097741,0.696049,0.087312,0.013180
1103,898.00,0.000,-12.580,0.1556,4.6602,0.0000,47.8546,0.8991,10.5012,0.0000,33.7345,4.1568,2.8538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.531,-1.184,0.296,0.033,0.144,0.105128,0.097635,0.697140,0.087004,0.013092
1104,897.00,0.000,-12.598,0.1663,4.6607,0.0000,47.8579,0.8930,10.4881,0.0000,33.7822,4.1413,2.8375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.634,-1.264,0.316,0.036,0.154,0.104544,0.097528,0.698231,0.086693,0.013005
1105,896.00,0.000,-12.616,0.1769,4.6612,0.0000,47.8613,0.8869,10.4748,0.0000,33.8299,4.1257,2.8214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.738,-1.345,0.336,0.038,0.163,0.103966,0.097419,0.699319,0.086377,0.012919
1106,895.00,0.000,-12.634,0.1875,4.6617,0.0000,47.8649,0.8809,10.4615,0.0000,33.8775,4.1098,2.8054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.841,-1.425,0.356,0.040,0.173,0.103393,0.097309,0.700407,0.086058,0.012834
