Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
951,1050.00,0.000,-10.183,0.1639,4.7217,0.0000,13.5915,3.5690,40.5048,0.0000,38.6969,0.0000,3.6378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.333,-0.887,0.337,0.035,0.151,0.000000,-0.120443,0.552894,0.196745,0.370804
952,1049.00,0.000,-10.197,0.2673,4.7236,0.0000,13.5733,3.5217,40.5804,0.0000,38.7148,0.0000,3.6098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.170,-1.444,0.549,0.057,0.246,0.000000,-0.119998,0.554190,0.195324,0.370485
953,1048.00,0.000,-10.211,0.3676,4.7255,0.0000,13.5597,3.4741,40.6480,0.0000,38.7353,0.0000,3.5828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.980,-1.984,0.754,0.078,0.339,0.000000,-0.119614,0.555372,0.193955,0.370287
954,1047.00,0.000,-10.225,0.4650,4.7273,0.0000,13.5507,3.4262,40.7077,0.0000,38.7585,0.0000,3.5569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.765,-2.506,0.953,0.098,0.429,0.000000,-0.119289,0.556439,0.192639,0.370210
955,1046.00,0.000,-10.239,0.5593,4.7290,0.0000,13.5462,3.3782,40.7594,0.0000,38.7842,0.0000,3.5320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.522,-3.010,1.146,0.118,0.515,0.000000,-0.119019,0.557394,0.191375,0.370251
956,1045.00,0.000,-10.253,0.6505,4.7307,0.0000,13.5460,3.3302,40.8034,0.0000,38.8124,0.0000,3.5081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.252,-3.497,1.332,0.138,0.599,0.000000,-0.118803,0.558238,0.190160,0.370405
957,1044.00,0.000,-10.267,0.7386,4.7323,0.0000,13.5499,3.2822,40.8399,0.0000,38.8429,0.0000,3.4851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.956,-3.965,1.511,0.156,0.680,0.000000,-0.118636,0.558973,0.188996,0.370667
958,1043.00,0.000,-10.281,0.8234,4.7338,0.0000,13.5576,3.2345,40.8692,0.0000,38.8757,0.0000,3.4631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.632,-4.415,1.684,0.174,0.758,0.000000,-0.118515,0.559604,0.187879,0.371032
959,1042.00,0.000,-10.295,0.9050,4.7353,0.0000,13.5690,3.1870,40.8916,0.0000,38.9104,0.0000,3.4420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.280,-4.847,1.850,0.191,0.833,0.000000,-0.118437,0.560134,0.186809,0.371493
960,1041.00,0.000,-10.309,0.9833,4.7368,0.0000,13.5838,3.1398,40.9076,0.0000,38.9470,0.0000,3.4218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.902,-5.262,2.009,0.208,0.904,0.000000,-0.118396,0.560571,0.185784,0.372041
